design,sparsity,shape,dimensions,matrix_elements,shape_order,sparsity_order,M_rows,N_cols,nwin,beats_per_matrix,batch_R,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,speedup_vs_dense,latency_norm_dense,theory_speedup,pct_of_theory,spread_pct,data_source
sparse,2:4,G8,2048x2048,4194304,8,2,2048,2048,64,16384,128,51.9901,50.4123,0.9697,161.35,80.68,110.93,2.0231,0.4943,2.0,101.15,0.662,measured
sparse,2:4,G9,4096x4096,16777216,9,2,4096,4096,128,65536,32,206.4284,201.6492,0.9768,162.55,81.27,111.75,2.0219,0.4946,2.0,101.09,1.897,measured
sparse,2:4,G10,8192x2048,16777216,10,2,8192,2048,64,65536,32,208.1305,201.6492,0.9689,161.22,80.61,110.84,2.0151,0.4963,2.0,100.75,0.691,measured
sparse,2:4,G11,2048x8192,16777216,11,2,2048,8192,256,65536,32,207.0247,201.6492,0.974,162.08,81.04,111.43,2.0342,0.4916,2.0,101.71,0.757,measured
sparse,2:4,GEOMEAN,,,12,2,,,,,,,,0.9691,161.26,,,2.0189,0.4953,2.0,100.95,,measured
sparse,2:8,G1,512x512,262144,1,3,512,512,16,512,4096,1.6567,1.5754,0.9509,316.47,79.12,108.79,3.9678,0.252,4.0,99.19,1.256,measured
sparse,2:8,G2,768x768,589824,2,3,768,768,24,1152,1821,3.6626,3.5446,0.9678,322.08,80.52,110.72,4.0339,0.2479,4.0,100.85,5.028,measured
sparse,2:8,G3,1024x1024,1048576,3,3,1024,1024,32,2048,1024,6.5098,6.3015,0.968,322.15,80.54,110.74,4.0178,0.2489,4.0,100.44,3.548,measured
sparse,2:8,G4,3072x768,2359296,4,3,3072,768,24,4608,456,14.759,14.1785,0.9607,319.71,79.93,109.9,4.0085,0.2495,4.0,100.21,0.335,measured
sparse,2:8,G5,768x3072,2359296,5,3,768,3072,96,4608,456,14.7753,14.1785,0.9596,319.36,79.84,109.78,4.0099,0.2494,4.0,100.25,0.608,measured
sparse,2:8,G6,4096x1024,4194304,6,3,4096,1024,32,8192,256,26.3753,25.2062,0.9557,318.05,79.51,109.33,3.9835,0.251,4.0,99.59,0.397,measured
sparse,2:8,G7,1024x4096,4194304,7,3,1024,4096,128,8192,256,26.1713,25.2062,0.9631,320.53,80.13,110.18,4.0188,0.2488,4.0,100.47,1.337,measured
sparse,2:8,G8,2048x2048,4194304,8,3,2048,2048,64,8192,256,26.1236,25.2062,0.9649,321.11,80.28,110.38,4.0263,0.2484,4.0,100.66,1.407,measured
sparse,2:8,G9,4096x4096,16777216,9,3,4096,4096,128,32768,64,104.9065,100.8246,0.9611,319.85,79.96,109.95,3.9785,0.2514,4.0,99.46,1.581,measured
sparse,2:8,G10,8192x2048,16777216,10,3,8192,2048,64,32768,64,104.3126,100.8246,0.9666,321.67,80.42,110.57,4.0206,0.2487,4.0,100.51,2.374,measured
sparse,2:8,G11,2048x8192,16777216,11,3,2048,8192,256,32768,64,104.9286,100.8246,0.9609,319.78,79.95,109.93,4.0134,0.2492,4.0,100.33,1.277,measured
sparse,2:8,GEOMEAN,,,12,3,,,,,,,,0.9617,320.06,,,4.0071,0.2496,4.0,100.18,,measured
sparse,2:16,G1,512x512,262144,1,4,512,512,16,256,8192,0.8333,0.7877,0.9453,629.19,78.65,108.14,7.8884,0.1268,8.0,98.6,2.516,measured
sparse,2:16,G2,768x768,589824,2,4,768,768,24,576,3641,1.871,1.7723,0.9473,630.5,78.81,108.37,7.8966,0.1266,8.0,98.71,1.107,measured
sparse,2:16,G3,1024x1024,1048576,3,4,1024,1024,32,1024,2048,3.3103,3.1508,0.9518,633.53,79.19,108.89,7.9011,0.1266,8.0,98.76,2.015,measured
sparse,2:16,G4,3072x768,2359296,4,4,3072,768,24,2304,911,7.4078,7.0892,0.957,636.98,79.62,109.48,7.9863,0.1252,8.0,99.83,2.153,measured
sparse,2:16,G5,768x3072,2359296,5,4,768,3072,96,2304,911,7.3992,7.0892,0.9581,637.71,79.71,109.61,8.0073,0.1249,8.0,100.09,0.128,measured
sparse,2:16,G6,4096x1024,4194304,6,4,4096,1024,32,4096,512,13.117,12.6031,0.9608,639.52,79.94,109.92,8.0099,0.1248,8.0,100.12,0.337,measured
sparse,2:16,G7,1024x4096,4194304,7,4,1024,4096,128,4096,512,12.8501,12.6031,0.9808,652.8,81.6,112.2,8.185,0.1222,8.0,102.31,3.12,measured
sparse,2:16,G8,2048x2048,4194304,8,4,2048,2048,64,4096,512,13.0774,12.6031,0.9637,641.46,80.18,110.25,8.0429,0.1243,8.0,100.54,0.933,measured
sparse,2:16,G9,4096x4096,16777216,9,4,4096,4096,128,16384,128,52.0962,50.4123,0.9677,644.09,80.51,110.7,8.0115,0.1248,8.0,100.14,1.436,measured
sparse,2:16,G10,8192x2048,16777216,10,4,8192,2048,64,16384,128,52.3788,50.4123,0.9625,640.61,80.08,110.11,8.007,0.1249,8.0,100.09,1.081,measured
sparse,2:16,G11,2048x8192,16777216,11,4,2048,8192,256,16384,128,52.0201,50.4123,0.9691,645.03,80.63,110.86,8.0953,0.1235,8.0,101.19,1.523,measured
sparse,2:16,GEOMEAN,,,12,4,,,,,,,,0.9603,639.19,,,8.0024,0.125,8.0,100.03,,measured
sparse,2:32,G1,512x512,262144,1,5,512,512,16,128,16384,0.4284,0.3938,0.9192,1223.7,76.48,105.16,15.3441,0.0652,16.0,95.9,1.615,measured
sparse,2:32,G2,768x768,589824,2,5,768,768,24,288,7282,0.9451,0.8862,0.9376,1248.17,78.01,107.26,15.6328,0.064,16.0,97.71,0.241,measured
sparse,2:32,G3,1024x1024,1048576,3,5,1024,1024,32,512,4096,1.6613,1.5754,0.9483,1262.38,78.9,108.49,15.7437,0.0635,16.0,98.4,1.429,measured
sparse,2:32,G4,3072x768,2359296,4,5,3072,768,24,1152,1821,3.7804,3.5446,0.9376,1248.17,78.01,107.26,15.6495,0.0639,16.0,97.81,1.234,measured
sparse,2:32,G5,768x3072,2359296,5,5,768,3072,96,1152,1821,3.6716,3.5446,0.9654,1285.17,80.32,110.44,16.1366,0.062,16.0,100.85,0.432,measured
sparse,2:32,G6,4096x1024,4194304,6,5,4096,1024,32,2048,1024,6.6542,6.3015,0.947,1260.66,78.79,108.34,15.7895,0.0633,16.0,98.68,2.332,measured
sparse,2:32,G7,1024x4096,4194304,7,5,1024,4096,128,2048,1024,6.439,6.3015,0.9786,1302.78,81.42,111.96,16.3346,0.0612,16.0,102.09,2.265,measured
sparse,2:32,G8,2048x2048,4194304,8,5,2048,2048,64,2048,1024,6.506,6.3015,0.9686,1289.36,80.59,110.8,16.1666,0.0619,16.0,101.04,1.576,measured
sparse,2:32,G9,4096x4096,16777216,9,5,4096,4096,128,8192,256,26.1077,25.2062,0.9655,1285.23,80.33,110.45,15.9864,0.0626,16.0,99.92,0.232,measured
sparse,2:32,G10,8192x2048,16777216,10,5,8192,2048,64,8192,256,26.1655,25.2062,0.9633,1282.39,80.15,110.21,16.0286,0.0624,16.0,100.18,0.874,measured
sparse,2:32,G11,2048x8192,16777216,11,5,2048,8192,256,8192,256,25.8072,25.2062,0.9767,1300.2,81.26,111.74,16.3179,0.0613,16.0,101.99,2.998,measured
sparse,2:32,GEOMEAN,,,12,5,,,,,,,,0.9551,1271.43,,,15.9181,0.0628,16.0,99.49,,measured
sparse,MIXED,G1,512x512,262144,1,6,512,512,16,480,4370,1.5274,1.4769,0.967,343.26,80.45,110.62,4.3037,0.2324,4.266666666666667,100.87,1.286,measured
sparse,MIXED,G2,768x768,589824,2,6,768,768,24,1080,1942,3.4472,3.3231,0.964,342.2,80.2,110.28,4.286,0.2333,4.266666666666667,100.45,0.74,measured
sparse,MIXED,G3,1024x1024,1048576,3,6,1024,1024,32,1920,1093,5.9928,5.9077,0.9858,349.95,82.02,112.78,4.3644,0.2291,4.266666666666667,102.29,3.83,measured
sparse,MIXED,G4,3072x768,2359296,4,6,3072,768,24,4320,486,13.8159,13.2923,0.9621,341.53,80.05,110.06,4.2821,0.2335,4.266666666666667,100.36,0.897,measured
sparse,MIXED,G5,768x3072,2359296,5,6,768,3072,96,4320,486,13.8325,13.2923,0.9609,341.12,79.95,109.93,4.2832,0.2335,4.266666666666667,100.39,3.723,measured
sparse,MIXED,G6,4096x1024,4194304,6,6,4096,1024,32,7680,274,24.3049,23.6308,0.9723,345.14,80.89,111.23,4.3228,0.2313,4.266666666666667,101.32,0.51,measured
sparse,MIXED,G7,1024x4096,4194304,7,6,1024,4096,128,7680,274,24.1028,23.6308,0.9804,348.03,81.57,112.16,4.3637,0.2292,4.266666666666667,102.28,0.789,measured
sparse,MIXED,G8,2048x2048,4194304,8,6,2048,2048,64,7680,274,24.3017,23.6308,0.9724,345.19,80.9,111.24,4.3281,0.231,4.266666666666667,101.44,0.892,measured
sparse,MIXED,G9,4096x4096,16777216,9,6,4096,4096,128,30720,69,96.1556,94.5231,0.983,348.96,81.79,112.46,4.3406,0.2304,4.266666666666667,101.73,1.248,measured
sparse,MIXED,G10,8192x2048,16777216,10,6,8192,2048,64,30720,69,97.2994,94.5231,0.9715,344.86,80.83,111.14,4.3104,0.232,4.266666666666667,101.02,0.868,measured
sparse,MIXED,G11,2048x8192,16777216,11,6,2048,8192,256,30720,69,96.7754,94.5231,0.9767,346.72,81.26,111.74,4.3515,0.2298,4.266666666666667,101.99,1.437,measured
sparse,MIXED,GEOMEAN,,,12,6,,,,,,,,0.9723,345.17,,,4.3214,0.2314,4.266666666666667,101.28,,measured
