design,sparsity,shape,dimensions,matrix_elements,shape_order,sparsity_order,M_rows,N_cols,nwin,beats_per_matrix,batch_R,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,speedup_vs_dense,latency_norm_dense,theory_speedup,pct_of_theory,spread_pct,data_source
dense,dense,G1,512x512,262144,1,1,512,512,16,2048,1024,6.5734,6.3015,0.9586,79.76,79.76,79.76,1.0,1.0,,,0.511,measured
dense,dense,G2,768x768,589824,2,1,768,768,24,4608,456,14.7746,14.1785,0.9597,79.84,79.84,79.84,1.0,1.0,,,0.512,measured
dense,dense,G3,1024x1024,1048576,3,1,1024,1024,32,8192,256,26.155,25.2062,0.9637,80.18,80.18,80.18,1.0,1.0,,,0.548,measured
dense,dense,G4,3072x768,2359296,4,1,3072,768,24,18432,114,59.1612,56.7138,0.9586,79.76,79.76,79.76,1.0,1.0,,,0.423,measured
dense,dense,G5,768x3072,2359296,5,1,768,3072,96,18432,114,59.2473,56.7138,0.9572,79.64,79.64,79.64,1.0,1.0,,,0.318,measured
dense,dense,G6,4096x1024,4194304,6,1,4096,1024,32,32768,64,105.0663,100.8246,0.9596,79.84,79.84,79.84,1.0,1.0,,,0.428,measured
dense,dense,G7,1024x4096,4194304,7,1,1024,4096,128,32768,64,105.1784,100.8246,0.9586,79.76,79.76,79.76,1.0,1.0,,,1.162,measured
dense,dense,G8,2048x2048,4194304,8,1,2048,2048,64,32768,64,105.1802,100.8246,0.9586,79.75,79.75,79.75,1.0,1.0,,,0.633,measured
dense,dense,G9,4096x4096,16777216,9,1,4096,4096,128,131072,16,417.3694,403.2985,0.9663,80.4,80.4,80.4,1.0,1.0,,,1.926,measured
dense,dense,G10,8192x2048,16777216,10,1,8192,2048,64,131072,16,419.3958,403.2985,0.9616,80.01,80.01,80.01,1.0,1.0,,,1.046,measured
dense,dense,G11,2048x8192,16777216,11,1,2048,8192,256,131072,16,421.1204,403.2985,0.9577,79.68,79.68,79.68,1.0,1.0,,,0.914,measured
dense,dense,GEOMEAN,,,12,1,,,,,,,,0.96,79.87,,,1.0,1.0,,,,measured
sparse,2:4,G1,512x512,262144,1,2,512,512,16,1024,2048,3.2625,3.1508,0.9658,160.7,80.35,110.48,2.0148,0.4963,2.0,100.74,1.688,measured
sparse,2:4,G2,768x768,589824,2,2,768,768,24,2304,911,7.3385,7.0892,0.966,160.75,80.37,110.51,2.0133,0.4967,2.0,100.66,0.62,measured
sparse,2:4,G3,1024x1024,1048576,3,2,1024,1024,32,4096,512,13.095,12.6031,0.9624,160.15,80.07,110.1,1.9973,0.5007,2.0,99.87,1.585,measured
sparse,2:4,G4,3072x768,2359296,4,2,3072,768,24,9216,228,29.4236,28.3569,0.9637,160.37,80.18,110.25,2.0107,0.4973,2.0,100.53,0.593,measured
sparse,2:4,G5,768x3072,2359296,5,2,768,3072,96,9216,228,29.0261,28.3569,0.9769,162.56,81.28,111.76,2.0412,0.4899,2.0,102.06,0.763,measured
sparse,2:4,G6,4096x1024,4194304,6,2,4096,1024,32,16384,128,52.0665,50.4123,0.9682,161.11,80.56,110.77,2.0179,0.4956,2.0,100.9,1.989,measured
sparse,2:4,G7,1024x4096,4194304,7,2,1024,4096,128,16384,128,52.0878,50.4123,0.9678,161.05,80.52,110.72,2.0193,0.4952,2.0,100.96,1.179,measured
