label,clock_mhz,V,soak_s,iterations,Mrow_s_sustained,board_load_w,board_idle_w,board_delta_w,vccint_load_w,vccint_idle_w,vccint_delta_w,vccint_load_a,board_load_min,board_load_max,board_load_sd,board_delta_se,vccint_delta_se,n_load,n_idle,energy_per_row_nJ,energy_per_MAC_pJ,GMAC_per_W,energy_per_row_nJ_vccint,sample_errors
sparse 2:4,300.0,1024,60.0,7971,69.651,35.913,30.756,5.157,8.122,7.5,0.621,9.547,30.704,36.856,1.427,0.204,0.021,54,21,515.616,503.5314,1.986,116.607,0
sparse 2:8,300.0,1024,60.0,7996,139.724,35.901,30.586,5.315,8.154,7.416,0.738,9.583,30.554,37.075,1.498,0.212,0.018,54,21,256.941,250.9189,3.9854,58.357,0
sparse 2:16,300.0,1024,60.0,7916,276.67,35.851,30.371,5.48,8.111,7.383,0.728,9.533,30.659,36.743,1.5,0.211,0.018,54,21,129.582,126.5446,7.9024,29.316,0
sparse 2:32,300.0,1024,60.0,7786,544.219,35.9,30.47,5.43,8.076,7.365,0.71,9.492,30.566,36.855,1.233,0.178,0.022,54,20,65.966,64.4201,15.5231,14.839,0
dense,300.0,1024,60.0,8061,35.215,31.767,27.374,4.393,7.882,6.847,1.035,9.264,27.333,32.724,0.845,0.129,0.019,54,21,902.076,880.9338,1.1352,223.838,0
sparse MIXED,300.0,1024,60.0,8494,148.427,35.985,30.247,5.738,7.931,7.327,0.604,9.322,30.509,36.819,0.811,0.124,0.021,54,21,242.443,236.7604,4.2237,53.436,0
