sparsity,clock_mhz,V,laps,weight_beats,rows,best_us,mean_us,worst_us,spread_pct,reps,ideal_us,bytes_in,bytes_index,bytes_out,Mrow_s,GB_s,beats_per_cycle,h2d_us,d2h_us
2:16,225.0,1024,4096,262144,262144,1763.086,1872.81,2043.634,15.9,15,1165.084,92276736,25165824,524288,148.6847,52.6356,0.6608,9795.743,176.462
2:16,225.0,1024,8192,524288,524288,2966.168,3150.315,3250.932,9.6,15,2330.169,184551424,50331648,1048576,176.756,62.5723,0.7856,19386.899,229.766
2:16,225.0,1024,16384,1048576,1048576,5283.169,5503.19,5643.112,6.8,15,4660.338,369100800,100663296,2097152,198.4748,70.2605,0.8821,37580.901,331.313
2:16,225.0,1024,32768,2097152,2097152,10099.286,10287.664,10482.561,3.8,15,9320.676,738199552,201326592,4194304,207.6535,73.5095,0.9229,73871.486,595.576
2:16,225.0,1024,4096->8192,262144,262144,1203.082,,,,,1165.084,92274688,25165824,524288,217.8937,77.1344,0.9684,,
2:16,225.0,1024,8192->16384,524288,524288,2317.001,,,,,2330.169,184549376,50331648,1048576,226.2787,80.1027,1.0057,,
2:16,225.0,1024,16384->32768,1048576,1048576,4816.117,,,,,4660.338,369098752,100663296,2097152,217.7223,77.0737,0.9677,,
2:16,225.0,1024,FIT,,,566.604,0.00453829,0.99994,,4,,,,,220.3472,78.0029,0.9793,,
