label,clock_mhz,V,soak_s,iterations,Mrow_s_sustained,board_load_w,board_idle_w,board_delta_w,vccint_load_w,vccint_idle_w,vccint_delta_w,vccint_load_a,board_load_min,board_load_max,board_load_sd,board_delta_se,vccint_delta_se,n_load,n_idle,energy_per_row_nJ,energy_per_MAC_pJ,GMAC_per_W,energy_per_row_nJ_vccint,sample_errors
sparse 2:4,300.0,1024,60.0,7983,69.749,35.501,30.13,5.371,7.777,7.121,0.656,9.143,30.41,36.474,0.976,0.143,0.024,54,21,508.982,497.0524,2.0119,111.502,0
sparse 2:4,300.0,1024,60.0,7988,69.793,35.383,30.146,5.236,7.736,7.069,0.667,9.092,30.779,36.312,1.137,0.168,0.023,54,21,506.965,495.0825,2.0199,110.849,0
sparse 2:8,300.0,1024,60.0,7969,139.266,35.327,30.115,5.212,7.823,7.17,0.653,9.195,29.972,36.554,1.507,0.216,0.019,54,21,253.666,247.7203,4.0368,56.17,0
sparse 2:16,300.0,1024,60.0,7893,275.864,35.413,30.226,5.187,7.909,7.172,0.737,9.297,30.051,37.259,1.711,0.241,0.022,54,21,128.371,125.3619,7.9769,28.669,0
sparse 2:32,300.0,1024,60.0,7803,545.417,35.521,30.138,5.382,7.906,7.249,0.656,9.293,30.347,36.799,1.381,0.199,0.019,54,20,65.126,63.5995,15.7234,14.495,0
dense,300.0,1024,60.0,8072,35.265,31.297,26.924,4.373,7.731,6.657,1.074,9.086,27.253,32.222,0.955,0.142,0.027,54,21,887.484,866.6837,1.1538,219.227,0
