design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,2:16,300.0,G1,512,512,16,256,8192,2097152,8079.187,603.7,0.9125,0.8533,0.9351,574.54,71.82,98.75,90112,1.261,8045.144 8146.588 8045.828
sparse,2:16,300.0,G2,768,768,24,576,3641,2097216,8031.024,603.7,2.0399,1.92,0.9412,578.28,72.29,99.39,202752,1.041,8071.559 8033.077 7988.437
sparse,2:16,300.0,G3,1024,1024,32,1024,2048,2097152,7925.8,603.7,3.5752,3.4133,0.9547,586.58,73.32,100.82,360448,1.949,7831.953 7960.824 7984.624
sparse,2:16,300.0,G4,3072,768,24,2304,911,2098944,7932.377,603.7,8.0447,7.68,0.9547,586.55,73.32,100.81,811008,1.738,8002.147 7929.564 7865.420
sparse,2:16,300.0,G5,768,3072,96,2304,911,2098944,7803.603,603.7,7.9033,7.68,0.9717,597.04,74.63,102.62,811008,2.465,7786.851 7716.861 7907.097
sparse,2:16,300.0,G6,4096,1024,32,4096,512,2097152,7913.34,603.7,14.2766,13.6533,0.9563,587.58,73.45,100.99,1441792,0.954,7885.790 7893.248 7960.983
sparse,2:16,300.0,G7,1024,4096,128,4096,512,2097152,7862.071,603.7,14.1765,13.6533,0.9631,591.73,73.97,101.7,1441792,0.616,7883.687 7835.412 7867.114
sparse,2:16,300.0,G8,2048,2048,64,4096,512,2097152,7812.871,603.7,14.0804,13.6533,0.9697,595.76,74.47,102.4,1441792,1.255,7751.779 7849.101 7837.733
sparse,2:16,300.0,G9,4096,4096,128,16384,128,2097152,7845.769,603.7,56.5787,54.6133,0.9653,593.06,74.13,101.93,5767168,1.635,7785.190 7912.492 7839.624
sparse,2:16,300.0,G10,8192,2048,64,16384,128,2097152,7895.92,603.7,56.9705,54.6133,0.9586,588.98,73.62,101.23,5767168,0.257,7888.540 7890.408 7908.812
sparse,2:16,300.0,G11,2048,8192,256,16384,128,2097152,7855.084,603.7,56.6514,54.6133,0.964,592.3,74.04,101.8,5767168,4.993,8069.208 7685.481 7810.562
