design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,2:32,300.0,G1,512,512,16,128,16384,2097152,8314.988,685.5,0.4657,0.4267,0.9162,1125.89,70.37,96.76,45056,1.39,8271.093 8287.814 8386.058
sparse,2:32,300.0,G2,768,768,24,288,7282,2097216,8104.64,685.5,1.0188,0.96,0.9423,1157.84,72.37,99.5,101376,0.93,8147.439 8094.145 8072.336
sparse,2:32,300.0,G3,1024,1024,32,512,4096,2097152,8027.15,685.5,1.7924,1.7067,0.9522,1170.03,73.13,100.55,180224,1.242,7976.462 8029.470 8075.519
sparse,2:32,300.0,G4,3072,768,24,1152,1821,2097792,8132.754,685.5,4.0897,3.84,0.939,1153.79,72.11,99.15,405504,0.857,8178.677 8110.387 8109.199
sparse,2:32,300.0,G5,768,3072,96,1152,1821,2097792,7862.244,685.5,3.9411,3.84,0.9743,1197.28,74.83,102.89,405504,2.57,7888.898 7749.336 7948.498
sparse,2:32,300.0,G6,4096,1024,32,2048,1024,2097152,8066.081,685.5,7.2076,6.8267,0.9471,1163.86,72.74,100.02,720896,0.877,8083.090 8022.412 8092.740
sparse,2:32,300.0,G7,1024,4096,128,2048,1024,2097152,7904.713,685.5,7.05,6.8267,0.9683,1189.87,74.37,102.25,720896,0.814,7929.724 7865.729 7918.685
sparse,2:32,300.0,G8,2048,2048,64,2048,1024,2097152,7975.614,685.5,7.1193,6.8267,0.9589,1178.3,73.64,101.26,720896,0.585,8001.505 7970.382 7954.954
sparse,2:32,300.0,G9,4096,4096,128,8192,256,2097152,7921.697,685.5,28.2664,27.3067,0.966,1187.08,74.19,102.01,2883584,0.648,7903.555 7954.765 7906.771
sparse,2:32,300.0,G10,8192,2048,64,8192,256,2097152,7968.766,685.5,28.4503,27.3067,0.9598,1179.41,73.71,101.36,2883584,0.91,7994.584 7989.239 7922.475
sparse,2:32,300.0,G11,2048,8192,256,8192,256,2097152,7842.976,685.5,27.9589,27.3067,0.9767,1200.13,75.01,103.14,2883584,1.554,7887.588 7874.466 7766.873
