sparsity,sparsity_order,design,latency_us_300_avg3,latency_us_325_avg3,Mrow_s_300_avg3,Mrow_s_325_avg3,GFLOPS_eff_300_avg3,GFLOPS_eff_325_avg3,GFLOPS_act_300_avg3,GFLOPS_act_325_avg3,speedup_vs_dense_300_avg3,speedup_vs_dense_325_avg3,dsp_occupancy_300_avg3,dsp_occupancy_325_avg3,clock_scaling_avg3,clock_scaling_ideal,pct_of_ideal_avg3,Mrow_s_300_soak,Mrow_s_325_soak,clock_scaling_soak,pct_of_ideal_soak,board_load_W_300_soak,board_load_W_325_soak,board_idle_W_300_soak,board_idle_W_325_soak,energy_nJ_per_row_300_soak,energy_nJ_per_row_325_soak,energy_vs_dense_300_soak,energy_vs_dense_325_soak,energy_nJ_per_row_300_vccint,energy_nJ_per_row_325_vccint,n_soaks_300,n_soaks_325
dense,1,dense,7745.577,7130.17,33.844,36.765,69.31,75.3,69.31,75.3,1.0,1.0,0.9592,0.9671,1.0863,1.0833,100.27,35.265,38.094,1.0802,99.71,31.297,31.724,26.924,27.077,887.484,832.777,1.0,1.0,219.227,204.988,1,1
2:4,2,sparse,7826.582,7306.062,66.988,71.761,137.19,146.97,68.6,73.48,1.979,1.952,0.9699,0.965,1.0713,1.0833,98.88,69.771,75.919,1.0881,100.44,35.442,35.994,30.138,30.165,507.974,474.111,1.7471,1.7565,111.175,104.208,2,1
2:8,3,sparse,7849.099,7318.191,133.592,143.283,273.6,293.44,68.4,73.36,3.947,3.897,0.9603,0.9562,1.0725,1.0833,99.0,139.266,150.235,1.0788,99.58,35.327,35.452,30.115,30.164,253.666,235.978,3.4986,3.529,56.17,52.924,1,1
2:16,4,sparse,7910.9,7340.937,265.096,285.679,542.92,585.07,67.86,73.13,7.833,7.77,0.9567,0.9578,1.0776,1.0833,99.47,275.864,297.452,1.0783,99.53,35.413,36.084,30.226,30.201,128.371,121.31,6.9134,6.8649,28.669,27.018,1,1
2:32,5,sparse,8005.26,7511.888,523.944,558.355,1073.04,1143.51,67.06,71.47,15.481,15.187,0.955,0.9453,1.0657,1.0833,98.37,545.417,591.371,1.0843,100.09,35.521,36.338,30.138,30.336,65.126,61.447,13.6272,13.5528,14.495,13.627,1,1
MIXED,6,sparse,7444.906,6917.779,140.845,151.577,288.45,310.43,67.61,72.76,4.162,4.123,0.9693,0.9704,1.0762,1.0833,99.34,149.135,158.93,1.0657,98.37,35.309,35.729,29.852,30.259,236.758,224.809,3.7485,3.7044,51.9,50.137,1,1
