design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,2:32,325.0,G1,512,512,16,128,16384,2097152,7705.167,685.5,0.4284,0.3938,0.9192,1223.7,76.48,105.16,45056,1.615,7669.837 7784.677 7660.987
sparse,2:32,325.0,G2,768,768,24,288,7282,2097216,7567.736,685.5,0.9451,0.8862,0.9376,1248.17,78.01,107.26,101376,0.241,7569.536 7575.931 7557.742
sparse,2:32,325.0,G3,1024,1024,32,512,4096,2097152,7490.054,685.5,1.6613,1.5754,0.9483,1262.38,78.9,108.49,180224,1.429,7439.012 7485.816 7545.335
sparse,2:32,325.0,G4,3072,768,24,1152,1821,2097792,7569.6,685.5,3.7804,3.5446,0.9376,1248.17,78.01,107.26,405504,1.234,7560.029 7527.925 7620.846
sparse,2:32,325.0,G5,768,3072,96,1152,1821,2097792,7371.44,685.5,3.6716,3.5446,0.9654,1285.17,80.32,110.44,405504,0.432,7382.268 7381.560 7350.491
sparse,2:32,325.0,G6,4096,1024,32,2048,1024,2097152,7499.366,685.5,6.6542,6.3015,0.947,1260.66,78.79,108.34,720896,2.332,7514.061 7578.376 7405.660
sparse,2:32,325.0,G7,1024,4096,128,2048,1024,2097152,7279.058,685.5,6.439,6.3015,0.9786,1302.78,81.42,111.96,720896,2.265,7249.632 7212.107 7375.436
sparse,2:32,325.0,G8,2048,2048,64,2048,1024,2097152,7347.655,685.5,6.506,6.3015,0.9686,1289.36,80.59,110.8,720896,1.576,7363.879 7396.941 7282.145
sparse,2:32,325.0,G9,4096,4096,128,8192,256,2097152,7369.06,685.5,26.1077,25.2062,0.9655,1285.23,80.33,110.45,2883584,0.232,7378.851 7366.564 7361.764
sparse,2:32,325.0,G10,8192,2048,64,8192,256,2097152,7383.863,685.5,26.1655,25.2062,0.9633,1282.39,80.15,110.21,2883584,0.874,7404.075 7405.823 7341.691
sparse,2:32,325.0,G11,2048,8192,256,8192,256,2097152,7292.141,685.5,25.8072,25.2062,0.9767,1300.2,81.26,111.74,2883584,2.998,7421.260 7205.229 7249.933
