design,clock_mhz,sparsity,estimator,M_rows,N_cols,weight_beats,beats_per_row,latency_avg_us,latency_best_us,latency_worst_us,spread_pct,Mrow_s,bandwidth_avg_GBs,beats_per_cycle_raw,GFLOPS_effective,GFLOPS_actual,runs
sparse,300.0,2:4,run_avg3,524288,1024,2097152,4.0,7814.7,7799.745,7822.824,0.296,67.09,94.597,0.8947,137.4,68.7,7799.745 7821.530 7822.824
sparse,300.0,2:8,run_avg3,1048576,1024,2097152,2.0,7846.474,7748.434,7905.205,2.023,133.637,94.355,0.8907,273.69,68.42,7885.782 7905.205 7748.434
sparse,300.0,2:16,run_avg3,2097152,1024,2097152,1.0,7893.814,7779.594,7978.226,2.553,265.67,94.058,0.8857,544.09,68.01,7779.594 7923.621 7978.226
sparse,300.0,2:32,run_avg3,4194304,1024,2097152,0.5,8002.954,7886.723,8122.858,2.994,524.094,93.303,0.8737,1073.35,67.08,8122.858 7999.282 7886.723
sparse,300.0,MIXED,run_avg3,1048576,1024,1966080,1.875,7506.086,7407.585,7641.087,3.152,139.697,92.495,0.8733,286.1,67.05,7641.087 7407.585 7469.585
