design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,2:8,300.0,G1,512,512,16,512,4096,2097152,8016.518,569.5,1.8181,1.7067,0.9387,288.37,72.09,99.13,180224,2.141,8127.487 7957.135 7964.932
sparse,2:8,300.0,G2,768,768,24,1152,1821,2097792,7922.93,569.5,4.0381,3.84,0.9509,292.13,73.03,100.42,405504,2.463,8048.872 7864.517 7855.400
sparse,2:8,300.0,G3,1024,1024,32,2048,1024,2097152,7916.744,569.5,7.175,6.8267,0.9514,292.28,73.07,100.47,720896,0.323,7928.267 7919.187 7902.779
sparse,2:8,300.0,G4,3072,768,24,4608,456,2101248,7910.01,569.5,16.0976,15.36,0.9542,293.12,73.28,100.76,1622016,0.969,7950.180 7905.962 7873.887
sparse,2:8,300.0,G5,768,3072,96,4608,456,2101248,7830.987,569.5,15.9243,15.36,0.9646,296.31,74.08,101.86,1622016,0.327,7829.490 7844.537 7818.934
sparse,2:8,300.0,G6,4096,1024,32,8192,256,2097152,7859.699,569.5,28.4773,27.3067,0.9589,294.57,73.64,101.26,2883584,1.735,7813.001 7948.560 7817.537
sparse,2:8,300.0,G7,1024,4096,128,8192,256,2097152,7836.286,569.5,28.3859,27.3067,0.962,295.52,73.88,101.59,2883584,0.576,7822.491 7865.714 7820.653
sparse,2:8,300.0,G8,2048,2048,64,8192,256,2097152,7847.551,569.5,28.4299,27.3067,0.9605,295.06,73.77,101.43,2883584,1.217,7883.726 7870.021 7788.907
sparse,2:8,300.0,G9,4096,4096,128,32768,64,2097152,7857.537,569.5,113.8756,109.2267,0.9592,294.66,73.66,101.29,11534336,0.876,7829.580 7898.147 7844.883
sparse,2:8,300.0,G10,8192,2048,64,32768,64,2097152,7855.992,569.5,113.8514,109.2267,0.9594,294.72,73.68,101.31,11534336,0.344,7868.355 7858.266 7841.355
sparse,2:8,300.0,G11,2048,8192,256,32768,64,2097152,7814.339,569.5,113.2006,109.2267,0.9649,296.42,74.1,101.89,11534336,0.857,7812.455 7781.931 7848.630
