design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,2:16,325.0,G1,512,512,16,256,8192,2097152,7429.916,603.7,0.8333,0.7877,0.9453,629.19,78.65,108.14,90112,2.516,7346.852 7531.716 7411.180
sparse,2:16,325.0,G2,768,768,24,576,3641,2097216,7415.88,603.7,1.871,1.7723,0.9473,630.5,78.81,108.37,202752,1.107,7393.764 7467.836 7386.040
sparse,2:16,325.0,G3,1024,1024,32,1024,2048,2097152,7383.164,603.7,3.3103,3.1508,0.9518,633.53,79.19,108.89,360448,2.015,7388.971 7453.864 7306.657
sparse,2:16,325.0,G4,3072,768,24,2304,911,2098944,7352.175,603.7,7.4078,7.0892,0.957,636.98,79.62,109.48,811008,2.153,7261.082 7417.436 7378.008
sparse,2:16,325.0,G5,768,3072,96,2304,911,2098944,7344.416,603.7,7.3992,7.0892,0.9581,637.71,79.71,109.61,811008,0.128,7349.379 7339.995 7343.875
sparse,2:16,325.0,G6,4096,1024,32,4096,512,2097152,7319.609,603.7,13.117,12.6031,0.9608,639.52,79.94,109.92,1441792,0.337,7315.850 7333.793 7309.183
sparse,2:16,325.0,G7,1024,4096,128,4096,512,2097152,7182.958,603.7,12.8501,12.6031,0.9808,652.8,81.6,112.2,1441792,3.12,7066.048 7196.335 7286.490
sparse,2:16,325.0,G8,2048,2048,64,4096,512,2097152,7299.341,603.7,13.0774,12.6031,0.9637,641.46,80.18,110.25,1441792,0.933,7344.091 7277.730 7276.202
sparse,2:16,325.0,G9,4096,4096,128,16384,128,2097152,7272.013,603.7,52.0962,50.4123,0.9677,644.09,80.51,110.7,5767168,1.436,7311.195 7297.148 7207.697
sparse,2:16,325.0,G10,8192,2048,64,16384,128,2097152,7308.182,603.7,52.3788,50.4123,0.9625,640.61,80.08,110.11,5767168,1.081,7309.107 7268.419 7347.019
sparse,2:16,325.0,G11,2048,8192,256,16384,128,2097152,7262.269,603.7,52.0201,50.4123,0.9691,645.03,80.63,110.86,5767168,1.523,7199.301 7278.542 7308.965
