sparsity,clock_mhz,V,laps,weight_beats,rows,best_us,mean_us,worst_us,spread_pct,reps,ideal_us,bytes_in,bytes_index,bytes_out,Mrow_s,GB_s,beats_per_cycle,h2d_us,d2h_us
2:4,225.0,1024,1024,262144,65536,1744.379,1844.359,2130.395,22.1,15,1165.084,92276736,25165824,131072,37.5698,52.9746,0.6679,10388.684,161.503
2:4,225.0,1024,2048,524288,131072,3023.539,3141.519,3292.324,8.9,15,2330.169,184551424,50331648,262144,43.3505,61.1249,0.7707,19833.375,165.391
2:4,225.0,1024,4096,1048576,262144,5240.044,5444.641,5715.295,9.1,15,4660.338,369100800,100663296,524288,50.0271,70.5385,0.8894,36783.272,158.197
2:4,225.0,1024,8192,2097152,524288,9977.442,10139.83,10300.308,3.2,15,9320.676,738199552,201326592,1048576,52.5473,74.0919,0.9342,76760.588,302.614
2:4,225.0,1024,1024->2048,262144,65536,1279.16,,,,,1165.084,92274688,25165824,131072,51.2336,72.2394,0.9108,,
2:4,225.0,1024,2048->4096,524288,131072,2216.505,,,,,2330.169,184549376,50331648,262144,59.1345,83.3797,1.0513,,
2:4,225.0,1024,4096->8192,1048576,262144,4737.398,,,,,4660.338,369098752,100663296,524288,55.335,78.0224,0.9837,,
2:4,225.0,1024,FIT,,,610.364,0.00446166,0.99977,,4,,,,,56.033,79.0065,0.9961,,
