design,clock_mhz,sparsity,estimator,M_rows,N_cols,weight_beats,beats_per_row,latency_avg_us,latency_best_us,latency_worst_us,spread_pct,Mrow_s,bandwidth_avg_GBs,beats_per_cycle_raw,GFLOPS_effective,GFLOPS_actual,runs
sparse,325.0,2:4,run_avg3,524288,1024,2097152,4.0,7306.062,7233.533,7346.612,1.563,71.761,101.188,0.883,146.97,73.48,7233.533 7346.612 7338.041
sparse,325.0,2:8,run_avg3,1048576,1024,2097152,2.0,7318.191,7261.852,7357.319,1.315,143.283,101.161,0.882,293.44,73.36,7261.852 7357.319 7335.403
sparse,325.0,2:16,run_avg3,2097152,1024,2097152,1.0,7340.937,7239.728,7404.427,2.275,285.679,101.141,0.879,585.07,73.13,7239.728 7378.655 7404.427
sparse,325.0,2:32,run_avg3,4194304,1024,2097152,0.5,7511.888,7482.858,7546.398,0.849,558.355,99.389,0.859,1143.51,71.47,7506.409 7546.398 7482.858
sparse,325.0,MIXED,run_avg3,1048576,1024,1966080,1.875,6917.779,6881.079,6938.383,0.833,151.577,100.345,0.8743,310.43,72.76,6938.383 6881.079 6933.876
