design,sparsity,sparsity_order,shape,shape_order,dimensions,matrix_elements,M_rows,N_cols,latency_per_matrix_us,board_load_W,board_idle_W,board_dynamic_W,energy_static_uJ,energy_dynamic_uJ,energy_total_uJ,energy_static_pJ_per_element,energy_dynamic_pJ_per_element,energy_total_pJ_per_element,static_pct,energy_vs_dense,GFLOPS_effective
dense,dense,1,G1,1,512x512,262144,512,512,7.0757,31.767,27.374,4.393,193.69,31.084,224.774,738.87,118.574,857.444,86.17,1.0,74.1
dense,dense,1,G2,2,768x768,589824,768,768,16.036,31.767,27.374,4.393,438.969,70.446,509.416,744.238,119.436,863.674,86.17,1.0,73.56
dense,dense,1,G3,3,1024x1024,1048576,1024,1024,27.7848,31.767,27.374,4.393,760.581,122.059,882.64,725.347,116.404,841.751,86.17,1.0,75.48
dense,dense,1,G4,4,3072x768,2359296,3072,768,63.3179,31.767,27.374,4.393,1733.264,278.156,2011.42,734.653,117.898,852.551,86.17,1.0,74.52
dense,dense,1,G5,5,768x3072,2359296,768,3072,63.8128,31.767,27.374,4.393,1746.812,280.33,2027.141,740.395,118.819,859.214,86.17,1.0,73.94
dense,dense,1,G6,6,4096x1024,4194304,4096,1024,113.5937,31.767,27.374,4.393,3109.514,499.017,3608.531,741.366,118.975,860.341,86.17,1.0,73.85
dense,dense,1,G7,7,1024x4096,4194304,1024,4096,113.0586,31.767,27.374,4.393,3094.866,496.666,3591.533,737.874,118.415,856.288,86.17,1.0,74.2
dense,dense,1,G8,8,2048x2048,4194304,2048,2048,112.6688,31.767,27.374,4.393,3084.196,494.954,3579.15,735.33,118.006,853.336,86.17,1.0,74.45
dense,dense,1,G9,9,4096x4096,16777216,4096,4096,452.4202,31.767,27.374,4.393,12384.551,1987.482,14372.032,738.177,118.463,856.64,86.17,1.0,74.17
dense,dense,1,G10,10,8192x2048,16777216,8192,2048,453.9778,31.767,27.374,4.393,12427.188,1994.324,14421.513,740.718,118.871,859.589,86.17,1.0,73.91
dense,dense,1,G11,11,2048x8192,16777216,2048,8192,454.7025,31.767,27.374,4.393,12447.026,1997.508,14444.534,741.901,119.061,860.961,86.17,1.0,73.79
sparse,2:4,2,G1,1,512x512,262144,512,512,3.5338,35.913,30.756,5.157,108.686,18.224,126.909,414.602,69.518,484.121,85.64,1.7711,148.36
sparse,2:4,2,G2,2,768x768,589824,768,768,7.8966,35.913,30.756,5.157,242.868,40.723,283.591,411.763,69.042,480.805,85.64,1.7963,149.39
