sparsity,clock_mhz,V,laps,weight_beats,rows,best_us,mean_us,worst_us,spread_pct,reps,ideal_us,bytes_in,bytes_index,bytes_out,Mrow_s,GB_s,beats_per_cycle,h2d_us,d2h_us
2:8,300.0,1024,2048,262144,131072,1364.198,1570.222,1710.873,25.4,25,873.813,92276736,25165824,262144,96.0799,67.8339,0.6405,9600.13,167.42
2:8,300.0,1024,4096,524288,262144,2436.44,2599.144,3104.146,27.4,25,1747.627,184551424,50331648,524288,107.593,75.9615,0.7173,20084.5,164.575
2:8,300.0,1024,8192,1048576,524288,4210.27,4335.198,4527.631,7.5,25,3495.253,369100800,100663296,1048576,124.526,87.9158,0.8302,38609.719,213.859
2:8,300.0,1024,16384,2097152,1048576,7693.22,7871.571,8064.237,4.8,25,6990.507,738199552,201326592,2097152,136.2987,96.2272,0.9087,81856.01,280.58
2:8,300.0,1024,2048->4096,262144,131072,1072.242,,,,,873.813,92274688,25165824,262144,122.2411,86.3022,0.8149,,
2:8,300.0,1024,4096->8192,524288,262144,1773.83,,,,,1747.627,184549376,50331648,524288,147.7842,104.3356,0.9852,,
2:8,300.0,1024,8192->16384,1048576,524288,3482.95,,,,,3495.253,369098752,100663296,1048576,150.5299,106.2741,1.0035,,
2:8,300.0,1024,FIT,,,569.497,0.00341444,0.99909,,4,,,,,146.4367,103.3843,0.9762,,
