design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,2:8,325.0,G1,512,512,16,512,4096,2097152,7355.234,569.5,1.6567,1.5754,0.9509,316.47,79.12,108.79,180224,1.256,7295.032 7386.666 7384.004
sparse,2:8,325.0,G2,768,768,24,1152,1821,2097792,7239.013,569.5,3.6626,3.5446,0.9678,322.08,80.52,110.72,405504,5.028,7013.842 7336.709 7366.489
sparse,2:8,325.0,G3,1024,1024,32,2048,1024,2097152,7235.499,569.5,6.5098,6.3015,0.968,322.15,80.54,110.74,720896,3.548,7085.639 7337.028 7283.829
sparse,2:8,325.0,G4,3072,768,24,4608,456,2101248,7299.621,569.5,14.759,14.1785,0.9607,319.71,79.93,109.9,1622016,0.335,7314.295 7294.726 7289.842
sparse,2:8,325.0,G5,768,3072,96,4608,456,2101248,7307.015,569.5,14.7753,14.1785,0.9596,319.36,79.84,109.78,1622016,0.608,7292.017 7336.329 7292.700
sparse,2:8,325.0,G6,4096,1024,32,8192,256,2097152,7321.582,569.5,26.3753,25.2062,0.9557,318.05,79.51,109.33,2883584,0.397,7331.901 7329.905 7302.940
sparse,2:8,325.0,G7,1024,4096,128,8192,256,2097152,7269.362,569.5,26.1713,25.2062,0.9631,320.53,80.13,110.18,2883584,1.337,7247.523 7231.940 7328.623
sparse,2:8,325.0,G8,2048,2048,64,8192,256,2097152,7257.154,569.5,26.1236,25.2062,0.9649,321.11,80.28,110.38,2883584,1.407,7288.916 7291.870 7190.675
sparse,2:8,325.0,G9,4096,4096,128,32768,64,2097152,7283.517,569.5,104.9065,100.8246,0.9611,319.85,79.96,109.95,11534336,1.581,7326.635 7212.613 7311.303
sparse,2:8,325.0,G10,8192,2048,64,32768,64,2097152,7245.504,569.5,104.3126,100.8246,0.9666,321.67,80.42,110.57,11534336,2.374,7138.008 7291.069 7307.434
sparse,2:8,325.0,G11,2048,8192,256,32768,64,2097152,7284.929,569.5,104.9286,100.8246,0.9609,319.78,79.95,109.93,11534336,1.277,7245.290 7337.792 7271.705
