design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
dense,dense,300.0,G1,512,512,16,2048,1024,2097152,7703.387,457.9,7.0757,6.8267,0.9648,74.1,74.1,74.1,524288,0.494,7704.039 7722.044 7684.077
dense,dense,300.0,G2,768,768,24,4608,456,2101248,7770.336,457.9,16.036,15.36,0.9578,73.56,73.56,73.56,1179648,1.384,7840.431 7733.364 7737.213
dense,dense,300.0,G3,1024,1024,32,8192,256,2097152,7570.814,457.9,27.7848,27.3067,0.9828,75.48,75.48,75.48,2097152,2.95,7618.421 7437.301 7656.719
dense,dense,300.0,G4,3072,768,24,18432,114,2101248,7676.141,457.9,63.3179,61.44,0.9703,74.52,74.52,74.52,4718592,3.28,7536.374 7708.514 7783.534
dense,dense,300.0,G5,768,3072,96,18432,114,2101248,7732.563,457.9,63.8128,61.44,0.9628,73.94,73.94,73.94,4718592,1.978,7718.999 7815.155 7663.536
dense,dense,300.0,G6,4096,1024,32,32768,64,2097152,7727.896,457.9,113.5937,109.2267,0.9616,73.85,73.85,73.85,8388608,0.131,7728.652 7722.463 7732.573
dense,dense,300.0,G7,1024,4096,128,32768,64,2097152,7693.651,457.9,113.0586,109.2267,0.9661,74.2,74.2,74.2,8388608,0.769,7696.011 7721.950 7662.991
dense,dense,300.0,G8,2048,2048,64,32768,64,2097152,7668.704,457.9,112.6688,109.2267,0.9694,74.45,74.45,74.45,8388608,2.467,7701.665 7745.449 7558.998
dense,dense,300.0,G9,4096,4096,128,131072,16,2097152,7696.623,457.9,452.4202,436.9067,0.9657,74.17,74.17,74.17,33554432,1.555,7709.583 7630.814 7749.473
dense,dense,300.0,G10,8192,2048,64,131072,16,2097152,7721.545,457.9,453.9778,436.9067,0.9624,73.91,73.91,73.91,33554432,0.217,7716.647 7732.377 7715.610
dense,dense,300.0,G11,2048,8192,256,131072,16,2097152,7733.139,457.9,454.7025,436.9067,0.9609,73.79,73.79,73.79,33554432,2.736,7635.765 7718.939 7844.714
