design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,8x4,8,4,32,2:8,375.0,G1,512,512,16,16,0,1024,2048,2097152,6214.288,484.861,auto,0.999571,29.57,2.7976,2.7307,0.9761,187.41,46.85,70.28,196608,0.537,6230.759 6214.645 6197.461
sparse,8x4,8,4,32,2:8,375.0,G2,768,768,24,24,0,2304,911,2098944,6174.185,484.861,auto,0.999571,29.57,6.2451,6.144,0.9838,188.89,47.22,70.83,442368,1.036,6161.422 6212.407 6148.725
sparse,8x4,8,4,32,2:8,375.0,G3,1024,1024,32,32,0,4096,512,2097152,6204.67,484.861,auto,0.999571,29.57,11.1715,10.9227,0.9777,187.72,46.93,70.4,786432,0.987,6173.709 6205.683 6234.618
sparse,8x4,8,4,32,2:8,375.0,G4,3072,768,24,96,0,9216,228,2101248,6194.143,484.861,auto,0.999571,29.57,25.0407,24.576,0.9814,188.44,47.11,70.66,1769472,1.389,6151.585 6237.037 6193.807
sparse,8x4,8,4,32,2:8,375.0,G5,768,3072,96,24,0,9216,228,2101248,6104.702,484.861,auto,0.999571,29.57,24.6484,24.576,0.9971,191.44,47.86,71.79,1769472,1.723,6049.242 6111.404 6153.459
sparse,8x4,8,4,32,2:8,375.0,G6,4096,1024,32,128,0,16384,128,2097152,6195.755,484.861,auto,0.999571,29.57,44.6164,43.6907,0.9793,188.02,47.0,70.51,3145728,0.18,6200.737 6196.920 6189.607
sparse,8x4,8,4,32,2:8,375.0,G7,1024,4096,128,32,0,16384,128,2097152,6110.225,484.861,auto,0.999571,29.57,43.9482,43.6907,0.9941,190.88,47.72,71.58,3145728,2.356,6146.923 6020.941 6162.811
sparse,8x4,8,4,32,2:8,375.0,G8,2048,2048,64,64,0,16384,128,2097152,6117.527,484.861,auto,0.999571,29.57,44.0052,43.6907,0.9929,190.63,47.66,71.49,3145728,2.247,6034.413 6148.161 6170.006
sparse,8x4,8,4,32,2:8,375.0,G9,4096,4096,128,128,0,65536,32,2097152,6158.812,484.861,auto,0.999571,29.57,177.311,174.7627,0.9856,189.24,47.31,70.97,12582912,0.282,6160.480 6166.656 6149.299
sparse,8x4,8,4,32,2:8,375.0,G10,8192,2048,64,256,0,65536,32,2097152,6110.874,484.861,auto,0.999571,29.57,175.8129,174.7627,0.994,190.85,47.71,71.57,12582912,3.195,5990.698 6159.801 6182.124
sparse,8x4,8,4,32,2:8,375.0,G11,2048,8192,256,64,0,65536,32,2097152,6125.66,484.861,auto,0.999571,29.57,176.275,174.7627,0.9914,190.35,47.59,71.38,12582912,1.541,6163.736 6070.169 6143.076
