design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,8x4,8,4,32,MIXED,375.0,G1,512,512,16,16,0,960,2185,2097600,6246.961,480.521,auto,0.998127,62.34,2.6391,2.56,0.97,198.66,46.56,69.84,184320,1.278,6272.225 6273.916 6194.742
sparse,8x4,8,4,32,MIXED,375.0,G2,768,768,24,24,0,2160,971,2097360,6192.759,480.521,auto,0.998127,62.34,5.8828,5.76,0.9791,200.52,47.0,70.5,414720,0.807,6212.150 6203.703 6162.423
sparse,8x4,8,4,32,MIXED,375.0,G3,1024,1024,32,32,0,3840,547,2100480,6187.539,480.521,auto,0.998127,62.34,10.4333,10.24,0.9815,201.01,47.11,70.67,737280,0.837,6203.590 6153.763 6205.265
sparse,8x4,8,4,32,MIXED,375.0,G4,3072,768,24,96,0,8640,243,2099520,6176.9,480.521,auto,0.998127,62.34,23.4419,23.04,0.9829,201.29,47.18,70.77,1658880,2.533,6178.815 6253.197 6098.689
sparse,8x4,8,4,32,MIXED,375.0,G5,768,3072,96,24,0,8640,243,2099520,6156.493,480.521,auto,0.998127,62.34,23.3579,23.04,0.9864,202.01,47.35,71.02,1658880,0.917,6157.648 6127.820 6184.011
sparse,8x4,8,4,32,MIXED,375.0,G6,4096,1024,32,128,0,15360,137,2104320,6239.386,480.521,auto,0.998127,62.34,42.0355,40.96,0.9744,199.56,46.77,70.16,2949120,1.045,6278.973 6214.019 6225.165
sparse,8x4,8,4,32,MIXED,375.0,G7,1024,4096,128,32,0,15360,137,2104320,6146.008,480.521,auto,0.998127,62.34,41.3539,40.96,0.9905,202.85,47.54,71.31,2949120,2.104,6192.150 6064.525 6181.350
sparse,8x4,8,4,32,MIXED,375.0,G8,2048,2048,64,64,0,15360,137,2104320,6186.683,480.521,auto,0.998127,62.34,41.6508,40.96,0.9834,201.4,47.2,70.81,2949120,0.614,6203.275 6165.448 6191.326
sparse,8x4,8,4,32,MIXED,375.0,G9,4096,4096,128,128,0,61440,35,2150400,6347.193,480.521,auto,0.998127,62.34,167.6192,163.84,0.9775,200.18,46.92,70.38,11796480,2.073,6422.459 6292.006 6327.115
sparse,8x4,8,4,32,MIXED,375.0,G10,8192,2048,64,256,0,61440,35,2150400,6318.265,480.521,auto,0.998127,62.34,166.7927,163.84,0.9823,201.17,47.15,70.73,11796480,0.309,6312.846 6330.740 6311.210
sparse,8x4,8,4,32,MIXED,375.0,G11,2048,8192,256,64,0,61440,35,2150400,6279.802,480.521,auto,0.998127,62.34,165.6937,163.84,0.9888,202.51,47.46,71.19,11796480,0.829,6256.145 6275.236 6308.024
