design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,8x4,8,4,32,2:32,375.0,G1,512,512,16,16,0,256,8192,2097152,6451.846,584.559,auto,0.998888,47.12,0.7162,0.6827,0.9532,732.02,45.75,68.63,49152,1.126,6435.830 6423.688 6496.020
sparse,8x4,8,4,32,2:32,375.0,G2,768,768,24,24,0,576,3641,2097216,6370.415,584.559,auto,0.998888,47.12,1.5891,1.536,0.9666,742.34,46.4,69.59,110592,1.67,6370.364 6317.702 6423.180
sparse,8x4,8,4,32,2:32,375.0,G3,1024,1024,32,32,0,1024,2048,2097152,6324.068,584.559,auto,0.998888,47.12,2.8025,2.7307,0.9744,748.32,46.77,70.15,196608,1.493,6310.444 6283.965 6377.796
sparse,8x4,8,4,32,2:32,375.0,G4,3072,768,24,96,0,2304,911,2098944,6383.08,584.559,auto,0.998888,47.12,6.365,6.144,0.9653,741.33,46.33,69.5,442368,1.206,6354.511 6363.601 6431.128
sparse,8x4,8,4,32,2:32,375.0,G5,768,3072,96,24,0,2304,911,2098944,6218.329,584.559,auto,0.998888,47.12,6.1842,6.144,0.9935,763.01,47.69,71.53,442368,1.842,6169.426 6202.476 6283.084
sparse,8x4,8,4,32,2:32,375.0,G6,4096,1024,32,128,0,4096,512,2097152,6314.901,584.559,auto,0.998888,47.12,11.1921,10.9227,0.9759,749.51,46.84,70.27,786432,1.607,6312.673 6366.372 6265.659
sparse,8x4,8,4,32,2:32,375.0,G7,1024,4096,128,32,0,4096,512,2097152,6168.226,584.559,auto,0.998888,47.12,10.9056,10.9227,1.0016,769.2,48.08,72.11,786432,0.42,6185.086 6160.392 6159.199
sparse,8x4,8,4,32,2:32,375.0,G8,2048,2048,64,64,0,4096,512,2097152,6216.72,584.559,auto,0.998888,47.12,11.0003,10.9227,0.9929,762.58,47.66,71.49,786432,1.738,6257.683 6150.753 6241.725
sparse,8x4,8,4,32,2:32,375.0,G9,4096,4096,128,128,0,16384,128,2097152,6162.582,584.559,auto,0.998888,47.12,43.5783,43.6907,1.0026,769.98,48.12,72.19,3145728,1.218,6180.666 6116.282 6190.798
sparse,8x4,8,4,32,2:32,375.0,G10,8192,2048,64,256,0,16384,128,2097152,6196.517,584.559,auto,0.998888,47.12,43.8434,43.6907,0.9965,765.32,47.83,71.75,3145728,0.761,6213.416 6166.474 6209.660
sparse,8x4,8,4,32,2:32,375.0,G11,2048,8192,256,64,0,16384,128,2097152,6167.921,584.559,auto,0.998888,47.12,43.62,43.6907,1.0016,769.24,48.08,72.12,3145728,0.079,6170.735 6165.845 6167.183
