design,config,cores,blocks,lanes,macs_per_beat,clock_mhz,sparsity,estimator,M_rows,N_cols,weight_beats,beats_per_row,latency_avg_us,latency_best_us,latency_worst_us,spread_pct,Mrow_s,bandwidth_avg_GBs,beats_per_cycle_raw,GFLOPS_effective,GFLOPS_actual,runs
sparse,8x4,8,4,32,64,375.0,2:4,run_avg3,262144,1024,2097152,8.0,6142.329,6089.362,6190.214,1.656,42.678,65.642,0.9103,87.41,43.7,6089.362 6190.214 6147.411
sparse,8x4,8,4,32,64,375.0,2:8,run_avg3,524288,1024,2097152,4.0,6177.979,6137.395,6207.347,1.14,84.864,65.347,0.9053,173.8,43.45,6137.395 6207.347 6189.194
sparse,8x4,8,4,32,64,375.0,2:16,run_avg3,1048576,1024,2097152,2.0,6225.991,6207.048,6254.285,0.761,168.419,65.011,0.8983,344.92,43.12,6216.640 6254.285 6207.048
sparse,8x4,8,4,32,64,375.0,2:32,run_avg3,2097152,1024,2097152,1.0,6319.406,6297.24,6342.859,0.724,331.859,64.382,0.885,679.65,42.48,6297.240 6342.859 6318.118
sparse,8x4,8,4,32,64,375.0,MIXED,run_avg3,524288,1024,1966080,3.75,5826.676,5803.429,5851.596,0.83,89.981,64.967,0.8997,184.28,43.19,5851.596 5803.429 5825.002
