design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,4x4,4,4,16,MIXED,400.0,G1,512,512,16,32,0,1920,1093,2098560,5696.41,329.154,auto,0.999606,26.48,4.9106,4.8,0.9775,106.77,25.02,37.54,184320,0.827,5671.737 5718.647 5698.847
sparse,4x4,4,4,16,MIXED,400.0,G2,768,768,24,48,0,4320,486,2099520,5703.606,329.154,auto,0.999606,26.48,11.0585,10.8,0.9766,106.67,25.0,37.5,414720,0.258,5710.497 5695.785 5704.537
sparse,4x4,4,4,16,MIXED,400.0,G3,1024,1024,32,64,0,7680,274,2104320,5668.952,329.154,auto,0.999606,26.48,19.4883,19.2,0.9852,107.61,25.22,37.83,737280,0.386,5678.602 5671.506 5656.747
sparse,4x4,4,4,16,MIXED,400.0,G4,3072,768,24,192,0,17280,122,2108160,5717.26,329.154,auto,0.999606,26.48,44.1648,43.2,0.9782,106.84,25.04,37.56,1658880,0.12,5720.970 5714.123 5716.687
sparse,4x4,4,4,16,MIXED,400.0,G5,768,3072,96,48,0,17280,122,2108160,5645.654,329.154,auto,0.999606,26.48,43.5779,43.2,0.9913,108.28,25.38,38.07,1658880,0.475,5627.978 5654.267 5654.718
sparse,4x4,4,4,16,MIXED,400.0,G6,4096,1024,32,256,0,30720,69,2119680,5719.261,329.154,auto,0.999606,26.48,78.1175,76.8,0.9831,107.38,25.17,37.75,2949120,0.298,5728.968 5716.873 5711.941
sparse,4x4,4,4,16,MIXED,400.0,G7,1024,4096,128,64,0,30720,69,2119680,5663.58,329.154,auto,0.999606,26.48,77.3105,76.8,0.9934,108.51,25.43,38.15,2949120,0.817,5655.066 5644.770 5690.904
sparse,4x4,4,4,16,MIXED,400.0,G8,2048,2048,64,128,0,30720,69,2119680,5694.783,329.154,auto,0.999606,26.48,77.7627,76.8,0.9876,107.87,25.28,37.92,2949120,0.264,5699.807 5684.797 5699.745
sparse,4x4,4,4,16,MIXED,400.0,G9,4096,4096,128,256,0,122880,18,2211840,5920.116,329.154,auto,0.999606,26.48,310.609,307.2,0.989,108.03,25.32,37.98,11796480,0.179,5920.548 5914.614 5925.185
sparse,4x4,4,4,16,MIXED,400.0,G10,8192,2048,64,512,0,122880,18,2211840,5891.303,329.154,auto,0.999606,26.48,309.0082,307.2,0.9941,108.59,25.45,38.18,11796480,1.147,5863.503 5879.658 5930.747
sparse,4x4,4,4,16,MIXED,400.0,G11,2048,8192,256,128,0,122880,18,2211840,5899.248,329.154,auto,0.999606,26.48,309.4496,307.2,0.9927,108.43,25.41,38.12,11796480,0.388,5910.635 5899.311 5887.797
