label,clock_mhz,V,soak_s,iterations,Mrow_s_sustained,board_load_w,board_idle_w,board_delta_w,vccint_load_w,vccint_idle_w,vccint_delta_w,vccint_load_a,board_load_min,board_load_max,board_load_sd,board_delta_se,vccint_delta_se,n_load,n_idle,energy_per_row_nJ,energy_per_MAC_pJ,GMAC_per_W,energy_per_row_nJ_vccint,sample_errors
4x4 2:4,400.0,1024,60.0,10914,23.842,27.729,25.642,2.087,6.42,6.136,0.284,7.548,26.574,28.289,0.372,0.089,0.019,54,20,1163.033,1135.7747,0.8805,269.257,0
4x4 2:8,400.0,1024,60.0,10888,47.567,27.458,25.629,1.829,6.425,6.111,0.314,7.554,25.305,28.347,0.773,0.134,0.016,54,20,577.256,563.7261,1.7739,135.077,0
4x4 2:16,400.0,1024,60.0,10827,94.6,27.602,25.45,2.153,6.355,6.021,0.334,7.472,26.866,28.428,0.327,0.085,0.016,54,20,291.779,284.9408,3.5095,67.18,0
4x4 2:32,400.0,1024,60.0,10652,186.141,27.472,25.266,2.206,6.293,5.998,0.295,7.399,26.664,28.036,0.304,0.071,0.018,54,20,147.588,144.1286,6.9383,33.807,0
4x4 MIXED,400.0,1024,60.0,11553,50.472,27.332,25.226,2.106,6.239,5.974,0.265,7.337,25.558,27.827,0.406,0.079,0.014,54,20,541.534,528.842,1.8909,123.615,0
