active_us_mean,interference_active,active_overlap_pct,act_eff_pct,active_runs,xclbin,clock_mhz,tenants_in_bitstream,set,set_size,tenant,rows_computed,span_us_mean,span_us_min,span_us_max,spread_pct,mrow_s,gmac_s,beats_per_cycle,eff_pct,interference,verified,union_us,overlap_pct,bit_exact,host_load_1min,host_cpus,runs,gmac_s_actual
6141.82,1.0,,94.57,6137.976 6115.760 6171.723,sparse_8x4_x2_375.xclbin,361.0,2,0,1,0,2097152,6505.206,6497.436,6517.979,0.316,322.381,20.632,0.893,89.3,1.0,no-golden,,,n/a,3.61,40,6500.202 6497.436 6517.979,
6332.723,1.0,,91.77,6316.337 6316.615 6365.218,sparse_8x4_x2_375.xclbin,361.0,2,1,1,1,4194304,6715.428,6671.538,6752.054,1.207,624.592,19.987,0.865,86.5,1.0,no-golden,,,n/a,3.64,40,6671.538 6722.692 6752.054,
6197.391,1.009,93.53,93.7,6177.332 6204.425 6210.416,sparse_8x4_x2_375.xclbin,361.0,2,0+1,2,0,2097152,6527.332,6449.376,6579.388,2.016,321.312,20.564,0.89,89.0,1.0034,no-golden,6934.289,88.93,n/a,3.64,40,6449.376 6553.233 6579.388,
6310.495,0.9965,93.53,92.07,6321.770 6303.045 6306.670,sparse_8x4_x2_375.xclbin,361.0,2,0+1,2,1,4194304,6573.187,6520.739,6609.398,1.36,638.114,20.42,0.884,88.4,0.9788,no-golden,6934.289,88.93,n/a,3.64,40,6520.739 6609.398 6589.425,
,,,,,sparse_8x4_x2_375.xclbin,361.0,2,0,1,soak,,,,,,331.814,,,,,,60004000.0,,,,,t0=331.814,21.2359
,,,,,sparse_8x4_x2_375.xclbin,361.0,2,0+1,2,soak,,,,,,967.832,,,,,,60005000.0,,,,,t0=328.739 t1=639.094,41.49
