active_us_mean,interference_active,active_overlap_pct,act_eff_pct,active_runs,xclbin,clock_mhz,tenants_in_bitstream,set,set_size,tenant,rows_computed,span_us_mean,span_us_min,span_us_max,spread_pct,mrow_s,gmac_s,beats_per_cycle,eff_pct,interference,verified,union_us,overlap_pct,bit_exact,host_load_1min,host_cpus,runs,gmac_s_actual,board_load_w,board_idle_w,vccint_load_w,vccint_idle_w,static_share_pct,energy_per_row_nJ,energy_per_mac_pJ
5525.13,1.0,,95.13,5514.000 5532.454 5528.936,sparse_4x4_x3_400.xclbin,399.0,3,0,1,0,524288,5755.732,5745.293,5762.645,0.302,91.09,11.659,0.9133,91.33,1.0,no-golden,,,n/a,6.08,40,5762.645 5759.259 5745.293,,,,,,,,
5485.231,1.0,,95.8,5491.176 5484.934 5479.584,sparse_4x4_x3_400.xclbin,399.0,3,1,1,1,262144,5710.31,5701.33,5723.37,0.387,45.907,11.752,0.9203,92.03,1.0,no-golden,,,n/a,5.83,40,5723.370 5706.229 5701.330,,,,,,,,
5529.486,1.0,,95.03,5531.883 5520.997 5535.577,sparse_4x4_x3_400.xclbin,399.0,3,2,1,2,524288,5771.34,5753.014,5790.359,0.649,90.844,11.628,0.911,91.1,1.0,no-golden,,,n/a,5.68,40,5790.359 5770.646 5753.014,,,,,,,,
5546.772,1.0039,96.47,94.77,5552.344 5541.802 5546.169,sparse_4x4_x3_400.xclbin,399.0,3,0+1,2,0,524288,5785.85,5780.679,5792.29,0.201,90.616,11.599,0.9083,90.83,1.0052,no-golden,5854.124,94.2,n/a,5.68,40,5792.290 5780.679 5784.581,,,,,,,,
5419.508,0.988,96.47,96.97,5416.835 5419.263 5422.427,sparse_4x4_x3_400.xclbin,399.0,3,0+1,2,1,262144,5583.518,5573.21,5596.854,0.424,46.95,12.019,0.9413,94.13,0.9778,no-golden,5854.124,94.2,n/a,5.68,40,5573.210 5596.854 5580.491,,,,,,,,
5533.275,1.0015,93.0,95.0,5546.192 5545.254 5508.378,sparse_4x4_x3_400.xclbin,399.0,3,0+1+2,3,0,524288,5793.123,5750.981,5828.485,1.348,90.505,11.585,0.9073,90.73,1.0065,no-golden,6137.852,86.4,n/a,5.68,40,5799.904 5828.485 5750.981,,,,,,,,
5453.323,0.9942,93.0,96.37,5450.477 5474.116 5435.375,sparse_4x4_x3_400.xclbin,399.0,3,0+1+2,3,1,262144,5617.579,5591.704,5658.58,1.196,46.666,11.947,0.9357,93.57,0.9838,no-golden,6137.852,86.4,n/a,5.68,40,5602.452 5658.580 5591.704,,,,,,,,
5489.734,0.9928,93.0,95.73,5455.573 5509.130 5504.498,sparse_4x4_x3_400.xclbin,399.0,3,0+1+2,3,2,524288,5646.705,5606.083,5671.311,1.164,92.851,11.885,0.931,93.1,0.9784,no-golden,6137.852,86.4,n/a,5.68,40,5606.083 5671.311 5662.720,,,,,,,,
,,,,,sparse_4x4_x3_400.xclbin,399.0,3,0,1,soak,,,,,,93.225,,,,,,60001000.0,,,,,t0=93.225,11.9329,33.063,30.694,7.83,7.489,92.84,354.663,2770.78
,,,,,sparse_4x4_x3_400.xclbin,399.0,3,0+1,2,soak,,,,,,139.56,,,,,,60003000.0,,,,,t0=92.944 t1=46.616,23.8307,35.023,30.946,8.049,7.475,88.36,250.955,1469.67
,,,,,sparse_4x4_x3_400.xclbin,399.0,3,0+1+2,3,soak,,,,,,228.748,,,,,,60006000.0,,,,,t0=91.419 t1=45.910 t2=91.419,35.1559,37.179,30.96,8.392,7.578,83.27,162.533,1057.55
