active_us_mean,interference_active,active_overlap_pct,act_eff_pct,active_runs,xclbin,clock_mhz,tenants_in_bitstream,set,set_size,tenant,rows_computed,span_us_mean,span_us_min,span_us_max,spread_pct,mrow_s,gmac_s,beats_per_cycle,eff_pct,interference,verified,union_us,overlap_pct,bit_exact,host_load_1min,host_cpus,runs,gmac_s_actual,board_load_w,board_idle_w,vccint_load_w,vccint_idle_w,static_share_pct,energy_per_row_nJ,energy_per_mac_pJ
5979.964,1.0,,93.77,5972.637 5978.127 5989.128,sparse_4x4_x4_375.xclbin,374.0,4,0,1,0,1048576,6221.295,6206.492,6234.247,0.447,168.547,10.787,0.901,90.1,1.0,no-golden,,,n/a,0.86,40,6234.247 6206.492 6223.145,,,,,,,,
6147.934,1.0,,91.2,6145.600 6161.790 6136.413,sparse_4x4_x4_375.xclbin,374.0,4,1,1,1,2097152,6373.837,6347.608,6398.127,0.796,329.029,10.529,0.8793,87.93,1.0,no-golden,,,n/a,1.03,40,6347.608 6398.127 6375.775,,,,,,,,
5873.207,1.0,,95.47,5884.364 5832.427 5902.830,sparse_4x4_x4_375.xclbin,374.0,4,2,1,2,524288,6068.666,6031.176,6127.777,1.602,86.397,11.059,0.924,92.4,1.0,no-golden,,,n/a,1.03,40,6127.777 6047.045 6031.176,,,,,,,,
6508.692,1.0,,86.17,6507.768 6517.056 6501.251,sparse_4x4_x4_375.xclbin,374.0,4,3,1,3,4194304,6889.327,6754.702,7150.875,5.865,609.243,9.748,0.8143,81.43,1.0,no-golden,,,n/a,1.19,40,6762.403 7150.875 6754.702,,,,,,,,
5995.682,1.0026,94.93,93.53,6003.901 5989.231 5993.913,sparse_4x4_x4_375.xclbin,374.0,4,0+1,2,0,1048576,6271.009,6255.802,6290.679,0.558,167.211,10.701,0.894,89.4,1.008,no-golden,6582.084,90.57,n/a,1.19,40,6290.679 6266.547 6255.802,,,,,,,,
6109.217,0.9937,94.93,91.77,6099.199 6121.229 6107.223,sparse_4x4_x4_375.xclbin,374.0,4,0+1,2,1,2097152,6273.056,6255.706,6290.274,0.553,334.313,10.698,0.8937,89.37,0.9842,no-golden,6582.084,90.57,n/a,1.19,40,6255.706 6290.274 6273.187,,,,,,,,
6017.566,1.0063,92.07,93.17,6016.896 6009.478 6026.325,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2,3,0,1048576,6255.799,6232.902,6289.164,0.903,167.619,10.728,0.8967,89.67,1.0055,no-golden,6549.997,88.37,n/a,1.34,40,6245.330 6232.902 6289.164,,,,,,,,
6113.016,0.9943,92.07,91.73,6108.473 6116.250 6114.325,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2,3,1,2097152,6275.545,6269.878,6281.236,0.181,334.179,10.694,0.8937,89.37,0.9846,no-golden,6549.997,88.37,n/a,1.34,40,6269.878 6275.522 6281.236,,,,,,,,
5888.649,1.0026,92.07,95.23,5865.472 5872.676 5927.800,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2,3,2,524288,6047.456,6027.074,6087.645,1.005,86.698,11.098,0.927,92.7,0.9965,no-golden,6549.997,88.37,n/a,1.34,40,6027.649 6027.074 6087.645,,,,,,,,
6018.57,1.0065,83.0,93.17,6009.553 6043.560 6002.597,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,0,1048576,6282.456,6260.6,6319.457,0.94,166.908,10.682,0.8927,89.27,1.0098,no-golden,7391.35,75.67,n/a,1.47,40,6267.310 6319.457 6260.600,,,,,,,,
6132.14,0.9974,83.0,91.47,6140.744 6137.690 6117.986,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,1,2097152,6298.09,6271.931,6313.221,0.658,332.985,10.656,0.8903,89.03,0.9881,no-golden,7391.35,75.67,n/a,1.47,40,6309.119 6313.221 6271.931,,,,,,,,
5911.323,1.0065,83.0,94.87,5922.768 5886.065 5925.135,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,2,524288,6075.802,6048.762,6100.001,0.847,86.292,11.045,0.9227,92.27,1.0012,no-golden,7391.35,75.67,n/a,1.47,40,6100.001 6048.762 6078.644,,,,,,,,
6537.911,1.0045,83.0,85.77,6499.642 6565.642 6548.448,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,3,4194304,6699.668,6657.597,6736.173,1.18,626.061,10.017,0.8367,83.67,0.9725,no-golden,7391.35,75.67,n/a,1.47,40,6657.597 6736.173 6705.233,,,,,,,,
,,,,,sparse_4x4_x4_375.xclbin,374.0,4,0,1,soak,,,,,,172.389,,,,,,60005000.0,,,,,t0=172.389,11.0329,34.531,32.6,8.49,8.274,94.41,200.309,3129.83
,,,,,sparse_4x4_x4_375.xclbin,374.0,4,0+1,2,soak,,,,,,504.16,,,,,,60001000.0,,,,,t0=171.141 t1=333.019,21.6095,36.298,32.611,8.753,8.278,89.84,71.998,1679.74
,,,,,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2,3,soak,,,,,,591.33,,,,,,60005000.0,,,,,t0=171.356 t1=333.135 t2=86.840,32.7425,38.288,32.59,9.112,8.286,85.12,64.749,1169.36
,,,,,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,soak,,,,,,1216.624,,,,,,60006000.0,,,,,t0=170.324 t1=331.665 t2=86.464 t3=628.172,42.6322,40.784,32.821,9.64,8.375,80.48,33.522,956.65
