design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,8x8,8,8,64,MIXED,325.0,G1,512,512,16,8,0,480,4370,2097600,7388.101,809.612,auto,0.999402,40.0,1.5054,1.4769,0.9811,348.28,81.63,112.24,168960,0.187,7380.327 7394.161 7389.815
sparse,8x8,8,8,64,MIXED,325.0,G2,768,768,24,12,0,1080,1942,2097360,7371.302,809.612,auto,0.999402,40.0,3.3788,3.3231,0.9835,349.13,81.83,112.51,380160,1.021,7402.095 7327.313 7384.499
sparse,8x8,8,8,64,MIXED,325.0,G3,1024,1024,32,16,0,1920,1093,2098560,7336.963,809.612,auto,0.999402,40.0,5.972,5.9077,0.9892,351.17,82.3,113.17,675840,2.599,7430.605 7337.908 7242.376
sparse,8x8,8,8,64,MIXED,325.0,G4,3072,768,24,48,0,4320,486,2099520,7396.013,809.612,auto,0.999402,40.0,13.5523,13.2923,0.9808,348.18,81.6,112.21,1520640,1.227,7395.039 7441.585 7351.416
sparse,8x8,8,8,64,MIXED,325.0,G5,768,3072,96,12,0,4320,486,2099520,7295.094,809.612,auto,0.999402,40.0,13.3446,13.2923,0.9961,353.6,82.87,113.95,1520640,0.949,7310.300 7321.898 7253.083
sparse,8x8,8,8,64,MIXED,325.0,G6,4096,1024,32,64,0,7680,274,2104320,7391.883,809.612,auto,0.999402,40.0,24.0229,23.6308,0.9837,349.19,81.84,112.53,2703360,0.459,7395.721 7373.034 7406.893
sparse,8x8,8,8,64,MIXED,325.0,G7,1024,4096,128,16,0,7680,274,2104320,7342.549,809.612,auto,0.999402,40.0,23.8428,23.6308,0.9911,351.83,82.46,113.38,2703360,0.335,7351.159 7326.598 7349.890
sparse,8x8,8,8,64,MIXED,325.0,G8,2048,2048,64,32,0,7680,274,2104320,7301.78,809.612,auto,0.999402,40.0,23.694,23.6308,0.9973,354.04,82.98,114.09,2703360,3.638,7410.175 7150.061 7345.103
sparse,8x8,8,8,64,MIXED,325.0,G9,4096,4096,128,64,0,30720,69,2119680,7356.133,809.612,auto,0.999402,40.0,94.8771,94.5231,0.9963,353.66,82.89,113.97,10813440,1.35,7311.247 7347.205 7409.946
sparse,8x8,8,8,64,MIXED,325.0,G10,8192,2048,64,128,0,30720,69,2119680,7335.73,809.612,auto,0.999402,40.0,94.5814,94.5231,0.9994,354.77,83.15,114.33,10813440,1.773,7283.001 7312.069 7412.120
sparse,8x8,8,8,64,MIXED,325.0,G11,2048,8192,256,32,0,30720,69,2119680,7375.518,809.612,auto,0.999402,40.0,95.1581,94.5231,0.9933,352.62,82.64,113.64,10813440,2.331,7452.402 7282.674 7391.477
