label,clock_mhz,V,soak_s,iterations,Mrow_s_sustained,board_load_w,board_idle_w,board_delta_w,vccint_load_w,vccint_idle_w,vccint_delta_w,vccint_load_a,board_load_min,board_load_max,board_load_sd,board_delta_se,vccint_delta_se,n_load,n_idle,energy_per_row_nJ,energy_per_MAC_pJ,GMAC_per_W,energy_per_row_nJ_vccint,sample_errors
8x8 2:4,325.0,1024,60.0,8612,75.249,36.409,30.752,5.657,8.321,7.503,0.819,9.784,30.727,37.329,1.598,0.231,0.021,54,21,483.846,472.5057,2.1164,110.584,0
8x8 2:8,325.0,1024,60.0,8535,149.155,35.396,30.953,4.443,8.306,7.494,0.812,9.762,30.615,37.404,2.653,0.369,0.02,54,20,237.31,231.7476,4.315,55.687,0
8x8 2:16,325.0,1024,60.0,8486,296.59,36.606,30.765,5.841,8.333,7.514,0.819,9.794,30.953,37.555,1.563,0.23,0.022,54,20,123.424,120.531,8.2966,28.094,0
8x8 2:32,325.0,1024,60.0,8395,586.851,35.827,30.831,4.996,8.378,7.524,0.854,9.847,30.577,37.885,2.434,0.341,0.024,54,20,61.05,59.6194,16.7731,14.276,0
8x8 MIXED,325.0,1024,60.0,9116,159.309,36.286,30.883,5.403,8.32,7.604,0.716,9.777,30.613,37.927,2.004,0.279,0.024,54,21,227.772,222.4334,4.4957,52.222,0
