design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,8x8,8,8,64,2:4,325.0,G1,512,512,16,8,0,1024,2048,2097152,7353.467,834.847,auto,0.999129,48.05,3.1829,3.1508,0.9899,164.72,82.36,113.24,360448,0.275,7363.981 7343.819 7352.600
sparse,8x8,8,8,64,2:4,325.0,G2,768,768,24,12,0,2304,911,2098944,7360.84,834.847,auto,0.999129,48.05,7.1635,7.0892,0.9896,164.67,82.34,113.21,811008,0.466,7380.534 7355.665 7346.321
sparse,8x8,8,8,64,2:4,325.0,G3,1024,1024,32,16,0,4096,512,2097152,7373.763,834.847,auto,0.999129,48.05,12.7713,12.6031,0.9868,164.21,82.1,112.89,1441792,2.909,7329.613 7289.805 7501.871
sparse,8x8,8,8,64,2:4,325.0,G4,3072,768,24,48,0,9216,228,2101248,7373.726,834.847,auto,0.999129,48.05,28.6793,28.3569,0.9888,164.53,82.26,113.11,3244032,0.176,7382.349 7369.453 7369.377
sparse,8x8,8,8,64,2:4,325.0,G5,768,3072,96,12,0,9216,228,2101248,7340.495,834.847,auto,0.999129,48.05,28.5335,28.3569,0.9938,165.37,82.68,113.69,3244032,0.25,7346.792 7328.487 7346.205
sparse,8x8,8,8,64,2:4,325.0,G6,4096,1024,32,64,0,16384,128,2097152,7330.147,834.847,auto,0.999129,48.05,50.7445,50.4123,0.9935,165.31,82.66,113.65,5767168,0.358,7335.764 7340.441 7314.237
sparse,8x8,8,8,64,2:4,325.0,G7,1024,4096,128,16,0,16384,128,2097152,7275.912,834.847,auto,0.999129,48.05,50.3208,50.4123,1.0018,166.7,83.35,114.61,5767168,3.261,7360.775 7338.654 7128.307
sparse,8x8,8,8,64,2:4,325.0,G8,2048,2048,64,32,0,16384,128,2097152,7270.015,834.847,auto,0.999129,48.05,50.2748,50.4123,1.0027,166.86,83.43,114.71,5767168,2.348,7322.184 7159.863 7327.999
sparse,8x8,8,8,64,2:4,325.0,G9,4096,4096,128,64,0,65536,32,2097152,7274.094,834.847,auto,0.999129,48.05,201.2265,201.6492,1.0021,166.75,83.37,114.64,23068672,2.904,7333.244 7348.221 7140.818
sparse,8x8,8,8,64,2:4,325.0,G10,8192,2048,64,128,0,65536,32,2097152,7255.844,834.847,auto,0.999129,48.05,200.6562,201.6492,1.0049,167.22,83.61,114.97,23068672,3.166,7144.725 7370.918 7251.889
sparse,8x8,8,8,64,2:4,325.0,G11,2048,8192,256,32,0,65536,32,2097152,7331.259,834.847,auto,0.999129,48.05,203.0129,201.6492,0.9933,165.28,82.64,113.63,23068672,0.977,7351.903 7285.340 7356.533
