label,clock_mhz,V,soak_s,iterations,Mrow_s_sustained,board_load_w,board_idle_w,board_delta_w,vccint_load_w,vccint_idle_w,vccint_delta_w,vccint_load_a,board_load_min,board_load_max,board_load_sd,board_delta_se,vccint_delta_se,n_load,n_idle,energy_per_row_nJ,energy_per_MAC_pJ,GMAC_per_W,energy_per_row_nJ_vccint,sample_errors
4x32 2:4,250.0,1024,60.0,6465,112.971,41.751,33.553,8.198,10.047,8.519,1.529,11.812,33.486,43.078,2.163,0.302,0.027,54,21,369.572,360.9106,2.7708,88.938,0
4x32 2:8,250.0,1024,60.0,6458,225.704,41.744,33.685,8.06,10.077,8.638,1.438,11.846,33.198,43.864,2.496,0.347,0.025,54,21,184.951,180.6162,5.5366,44.645,0
4x32 2:16,250.0,1024,60.0,6408,447.897,41.762,33.761,8.001,10.223,8.628,1.595,12.018,33.197,43.616,2.897,0.399,0.028,54,20,93.241,91.0556,10.9823,22.825,0
4x32 2:32,250.0,1024,60.0,6318,883.234,41.651,33.571,8.079,10.242,8.628,1.614,12.04,33.47,43.784,2.932,0.404,0.034,54,20,47.157,46.0519,21.7146,11.596,0
4x32 MIXED,250.0,1024,60.0,6813,238.112,42.271,33.686,8.585,10.132,8.649,1.483,11.91,33.855,43.269,1.683,0.241,0.031,54,21,177.524,173.3633,5.7682,42.552,0
