design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,4x32,4,32,128,2:16,250.0,G1,512,512,16,4,0,128,16384,2097152,10237.058,1526.756,auto,0.999533,45.84,0.5316,0.512,0.9631,986.18,123.27,169.5,90112,1.954,10203.531 10154.605 10353.038
sparse,4x32,4,32,128,2:16,250.0,G2,768,768,24,6,0,288,7282,2097216,9968.466,1526.756,auto,0.999533,45.84,1.1593,1.152,0.9937,1017.59,127.2,174.9,202752,2.912,9779.779 10061.016 10064.602
sparse,4x32,4,32,128,2:16,250.0,G3,1024,1024,32,8,0,512,4096,2097152,10030.883,1526.756,auto,0.999533,45.84,2.0762,2.048,0.9864,1010.09,126.26,173.61,360448,0.945,10089.530 10008.062 9995.058
sparse,4x32,4,32,128,2:16,250.0,G4,3072,768,24,24,0,1152,1821,2097792,10071.577,1526.756,auto,0.999533,45.84,4.6924,4.608,0.982,1005.59,125.7,172.84,811008,0.617,10038.527 10100.463 10075.742
sparse,4x32,4,32,128,2:16,250.0,G5,768,3072,96,6,0,1152,1821,2097792,9968.367,1526.756,auto,0.999533,45.84,4.6357,4.608,0.994,1017.88,127.24,174.95,811008,1.902,10079.384 9891.297 9934.421
sparse,4x32,4,32,128,2:16,250.0,G6,4096,1024,32,32,0,2048,1024,2097152,9903.323,1526.756,auto,0.999533,45.84,8.1802,8.192,1.0014,1025.47,128.18,176.25,1441792,4.228,9930.252 10094.597 9685.121
sparse,4x32,4,32,128,2:16,250.0,G7,1024,4096,128,8,0,2048,1024,2097152,9927.541,1526.756,auto,0.999533,45.84,8.2039,8.192,0.9986,1022.52,127.81,175.74,1441792,1.054,9888.506 9901.394 9992.724
sparse,4x32,4,32,128,2:16,250.0,G8,2048,2048,64,16,0,2048,1024,2097152,10093.837,1526.756,auto,0.999533,45.84,8.3663,8.192,0.9792,1002.67,125.33,172.33,1441792,3.637,9937.693 10044.708 10299.109
sparse,4x32,4,32,128,2:16,250.0,G9,4096,4096,128,32,0,8192,256,2097152,9880.011,1526.756,auto,0.999533,45.84,32.6299,32.768,1.0042,1028.33,128.54,176.74,5767168,1.461,9844.607 9825.942 9969.483
sparse,4x32,4,32,128,2:16,250.0,G10,8192,2048,64,64,0,8192,256,2097152,10039.496,1526.756,auto,0.999533,45.84,33.2529,32.768,0.9854,1009.07,126.13,173.43,5767168,1.583,10073.697 9943.708 10101.084
sparse,4x32,4,32,128,2:16,250.0,G11,2048,8192,256,16,0,8192,256,2097152,9987.785,1526.756,auto,0.999533,45.84,33.0509,32.768,0.9914,1015.24,126.9,174.49,5767168,1.572,9966.547 9920.447 10076.360
