design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,4x32,4,32,128,MIXED,250.0,G1,512,512,16,4,0,240,8739,2097360,10016.626,1540.682,auto,0.999698,36.91,0.9699,0.96,0.9898,540.56,126.69,174.2,168960,2.068,10135.384 9984.417 9930.077
sparse,4x32,4,32,128,MIXED,250.0,G2,768,768,24,8,256,720,2913,2097360,9930.557,1540.682,auto,0.999698,36.91,2.8801,2.88,0.9999,409.58,127.99,175.99,506880,0.592,9895.468 9954.000 9942.202
sparse,4x32,4,32,128,MIXED,250.0,G3,1024,1024,32,8,0,960,2185,2097600,9848.303,1540.682,auto,0.999698,36.91,3.8021,3.84,1.01,551.58,129.28,177.75,675840,1.827,9730.726 9908.487 9905.697
sparse,4x32,4,32,128,MIXED,250.0,G4,3072,768,24,24,0,2160,971,2097360,10107.049,1540.682,auto,0.999698,36.91,8.8222,8.64,0.9793,534.85,125.36,172.36,1520640,2.834,10010.712 10294.389 10016.045
sparse,4x32,4,32,128,MIXED,250.0,G5,768,3072,96,8,256,2880,729,2099520,9893.118,1540.682,auto,0.999698,36.91,11.4574,11.52,1.0055,411.84,128.7,176.96,2027520,0.855,9850.403 9934.604 9894.346
sparse,4x32,4,32,128,MIXED,250.0,G6,4096,1024,32,32,0,3840,547,2100480,9990.125,1540.682,auto,0.999698,36.91,15.4469,15.36,0.9944,543.06,127.28,175.01,2703360,7.29,10334.112 9631.927 10004.336
sparse,4x32,4,32,128,MIXED,250.0,G7,1024,4096,128,8,0,3840,547,2100480,9940.209,1540.682,auto,0.999698,36.91,15.3556,15.36,1.0003,546.29,128.04,176.05,2703360,0.322,9950.577 9919.032 9951.018
sparse,4x32,4,32,128,MIXED,250.0,G8,2048,2048,64,16,0,3840,547,2100480,9932.867,1540.682,auto,0.999698,36.91,15.3422,15.36,1.0012,546.77,128.15,176.2,2703360,0.806,9902.621 9913.505 9982.476
sparse,4x32,4,32,128,MIXED,250.0,G9,4096,4096,128,32,0,15360,137,2104320,9982.932,1540.682,auto,0.999698,36.91,61.6223,61.44,0.997,544.52,127.62,175.48,10813440,0.945,10027.801 9987.051 9933.943
sparse,4x32,4,32,128,MIXED,250.0,G10,8192,2048,64,64,0,15360,137,2104320,9953.029,1540.682,auto,0.999698,36.91,61.404,61.44,1.0006,546.45,128.08,176.1,10813440,0.988,9958.671 9901.280 9999.136
sparse,4x32,4,32,128,MIXED,250.0,G11,2048,8192,256,16,0,15360,137,2104320,9985.401,1540.682,auto,0.999698,36.91,61.6403,61.44,0.9968,544.36,127.58,175.43,10813440,1.599,10011.527 10051.418 9893.258
