 row  golden      hw     gold(dec)       hw(dec)      rel%
 524    44ED    44ED     1896.0000     1896.0000    0.000%
 525    4502    4502     2080.0000     2080.0000    0.000%
 526    4509    4509     2192.0000     2192.0000    0.000%
 527    44FE    44FE     2032.0000     2032.0000    0.000%
 528    4501    4501     2064.0000     2064.0000    0.000%
 529    4501    4501     2064.0000     2064.0000    0.000%
 530    44FC    44FC     2016.0000     2016.0000    0.000%
 531    44FF    44FF     2040.0000     2040.0000    0.000%
 532    44EF    44EF     1912.0000     1912.0000    0.000%
 533    4506    4506     2144.0000     2144.0000    0.000%
 534    44DE    44DE     1776.0000     1776.0000    0.000%
 535    44FB    44FB     2008.0000     2008.0000    0.000%
 536    4507    4507     2160.0000     2160.0000    0.000%
 537    44FA    44FA     2000.0000     2000.0000    0.000%
 538    4507    4507     2160.0000     2160.0000    0.000%
 539    44DD    44DD     1768.0000     1768.0000    0.000%
 540    44F8    44F8     1984.0000     1984.0000    0.000%
 541    44F7    44F7     1976.0000     1976.0000    0.000%
 542    4507    4507     2160.0000     2160.0000    0.000%
 543    450E    450E     2272.0000     2272.0000    0.000%
 544    44FF    44FF     2040.0000     2040.0000    0.000%
 545    4502    4502     2080.0000     2080.0000    0.000%
 546    450A    450A     2208.0000     2208.0000    0.000%
 547    44EB    44EB     1880.0000     1880.0000    0.000%
 548    450E    450E     2272.0000     2272.0000    0.000%
 549    450D    450D     2256.0000     2256.0000    0.000%
 550    4502    4502     2080.0000     2080.0000    0.000%
 551    4508    4508     2176.0000     2176.0000    0.000%
 552    450A    450A     2208.0000     2208.0000    0.000%
 553    44F9    44F9     1992.0000     1992.0000    0.000%
 554    4508    4508     2176.0000     2176.0000    0.000%
 555    4508    4508     2176.0000     2176.0000    0.000%
 556    450D    450D     2256.0000     2256.0000    0.000%
 557    4504    4504     2112.0000     2112.0000    0.000%
 558    44F4    44F4     1952.0000     1952.0000    0.000%
 559    4509    4509     2192.0000     2192.0000    0.000%
 560    44EB    44EB     1880.0000     1880.0000    0.000%
 561    44FF    44FF     2040.0000     2040.0000    0.000%
 562    4509    4509     2192.0000     2192.0000    0.000%
 563    4506    4506     2144.0000     2144.0000    0.000%
 564    4501    4501     2064.0000     2064.0000    0.000%
 565    4507    4507     2160.0000     2160.0000    0.000%
 566    44F4    44F4     1952.0000     1952.0000    0.000%
 567    4514    4514     2368.0000     2368.0000    0.000%
 568    4502    4502     2080.0000     2080.0000    0.000%
 569    44EF    44EF     1912.0000     1912.0000    0.000%
 570    4501    4501     2064.0000     2064.0000    0.000%
 571    4501    4501     2064.0000     2064.0000    0.000%
 572    4504    4504     2112.0000     2112.0000    0.000%
 573    450F    450F     2288.0000     2288.0000    0.000%
 574    450F    450F     2288.0000     2288.0000    0.000%
 575    44DD    44DD     1768.0000     1768.0000    0.000%
 576    44E2    44E2     1808.0000     1808.0000    0.000%
 577    44E9    44E9     1864.0000     1864.0000    0.000%
 578    450E    450E     2272.0000     2272.0000    0.000%
 579    4506    4506     2144.0000     2144.0000    0.000%
 580    450A    450A     2208.0000     2208.0000    0.000%
 581    44FF    44FF     2040.0000     2040.0000    0.000%
 582    44E0    44E0     1792.0000     1792.0000    0.000%
 583    4509    4509     2192.0000     2192.0000    0.000%
 584    450B    450B     2224.0000     2224.0000    0.000%
 585    44FC    44FC     2016.0000     2016.0000    0.000%
 586    44E5    44E5     1832.0000     1832.0000    0.000%
 587    4502    4502     2080.0000     2080.0000    0.000%
 588    4505    4505     2128.0000     2128.0000    0.000%
 589    4500    4500     2048.0000     2048.0000    0.000%
 590    4508    4508     2176.0000     2176.0000    0.000%
 591    4501    4501     2064.0000     2064.0000    0.000%
 592    44F4    44F4     1952.0000     1952.0000    0.000%
 593    4502    4502     2080.0000     2080.0000    0.000%
 594    4512    4512     2336.0000     2336.0000    0.000%
 595    4502    4502     2080.0000     2080.0000    0.000%
 596    44E7    44E7     1848.0000     1848.0000    0.000%
 597    44FE    44FE     2032.0000     2032.0000    0.000%
 598    44ED    44ED     1896.0000     1896.0000    0.000%
 599    4502    4502     2080.0000     2080.0000    0.000%
 600    450A    450A     2208.0000     2208.0000    0.000%
 601    44F4    44F4     1952.0000     1952.0000    0.000%
 602    44F6    44F6     1968.0000     1968.0000    0.000%
 603    450B    450B     2224.0000     2224.0000    0.000%
 604    4506    4506     2144.0000     2144.0000    0.000%
 605    44E9    44E9     1864.0000     1864.0000    0.000%
 606    44FC    44FC     2016.0000     2016.0000    0.000%
 607    4502    4502     2080.0000     2080.0000    0.000%
 608    4508    4508     2176.0000     2176.0000    0.000%
 609    450D    450D     2256.0000     2256.0000    0.000%
 610    4505    4505     2128.0000     2128.0000    0.000%
 611    4503    4503     2096.0000     2096.0000    0.000%
 612    450B    450B     2224.0000     2224.0000    0.000%
 613    44F7    44F7     1976.0000     1976.0000    0.000%
 614    44FE    44FE     2032.0000     2032.0000    0.000%
 615    450B    450B     2224.0000     2224.0000    0.000%
 616    44FC    44FC     2016.0000     2016.0000    0.000%
 617    44FE    44FE     2032.0000     2032.0000    0.000%
 618    4502    4502     2080.0000     2080.0000    0.000%
 619    4506    4506     2144.0000     2144.0000    0.000%
 620    4509    4509     2192.0000     2192.0000    0.000%
 621    4502    4502     2080.0000     2080.0000    0.000%
 622    4510    4510     2304.0000     2304.0000    0.000%
 623    450D    450D     2256.0000     2256.0000    0.000%
 624    44EA    44EA     1872.0000     1872.0000    0.000%
 625    44FA    44FA     2000.0000     2000.0000    0.000%
 626    450B    450B     2224.0000     2224.0000    0.000%
 627    44E7    44E7     1848.0000     1848.0000    0.000%
 628    44FC    44FC     2016.0000     2016.0000    0.000%
 629    4504    4504     2112.0000     2112.0000    0.000%
 630    44FF    44FF     2040.0000     2040.0000    0.000%
 631    44F8    44F8     1984.0000     1984.0000    0.000%
 632    44F6    44F6     1968.0000     1968.0000    0.000%
 633    4502    4502     2080.0000     2080.0000    0.000%
 634    4500    4500     2048.0000     2048.0000    0.000%
 635    4506    4506     2144.0000     2144.0000    0.000%
 636    44FD    44FD     2024.0000     2024.0000    0.000%
 637    4502    4502     2080.0000     2080.0000    0.000%
 638    44EF    44EF     1912.0000     1912.0000    0.000%
 639    4506    4506     2144.0000     2144.0000    0.000%
 640    4508    4508     2176.0000     2176.0000    0.000%
 641    4507    4507     2160.0000     2160.0000    0.000%
 642    4506    4506     2144.0000     2144.0000    0.000%
 643    4508    4508     2176.0000     2176.0000    0.000%
 644    4504    4504     2112.0000     2112.0000    0.000%
 645    4508    4508     2176.0000     2176.0000    0.000%
 646    4505    4505     2128.0000     2128.0000    0.000%
 647    4509    4509     2192.0000     2192.0000    0.000%
 648    44F6    44F6     1968.0000     1968.0000    0.000%
 649    4505    4505     2128.0000     2128.0000    0.000%
 650    4508    4508     2176.0000     2176.0000    0.000%
 651    44FA    44FA     2000.0000     2000.0000    0.000%
 652    44F4    44F4     1952.0000     1952.0000    0.000%
 653    4506    4506     2144.0000     2144.0000    0.000%
 654    44EC    44EC     1888.0000     1888.0000    0.000%
 655    4502    4502     2080.0000     2080.0000    0.000%
 656    44DC    44DC     1760.0000     1760.0000    0.000%
 657    4501    4501     2064.0000     2064.0000    0.000%
 658    4510    4510     2304.0000     2304.0000    0.000%
 659    450A    450A     2208.0000     2208.0000    0.000%
 660    44F3    44F3     1944.0000     1944.0000    0.000%
 661    4506    4506     2144.0000     2144.0000    0.000%
 662    44DB    44DB     1752.0000     1752.0000    0.000%
 663    44F6    44F6     1968.0000     1968.0000    0.000%
 664    44DD    44DD     1768.0000     1768.0000    0.000%
 665    44DB    44DB     1752.0000     1752.0000    0.000%
 666    4509    4509     2192.0000     2192.0000    0.000%
 667    4509    4509     2192.0000     2192.0000    0.000%
 668    450E    450E     2272.0000     2272.0000    0.000%
 669    44EF    44EF     1912.0000     1912.0000    0.000%
 670    450B    450B     2224.0000     2224.0000    0.000%
 671    4508    4508     2176.0000     2176.0000    0.000%
 672    44EC    44EC     1888.0000     1888.0000    0.000%
 673    450D    450D     2256.0000     2256.0000    0.000%
 674    44FF    44FF     2040.0000     2040.0000    0.000%
 675    44FB    44FB     2008.0000     2008.0000    0.000%
 676    4513    4513     2352.0000     2352.0000    0.000%
 677    44F6    44F6     1968.0000     1968.0000    0.000%
 678    44F5    44F5     1960.0000     1960.0000    0.000%
 679    44FD    44FD     2024.0000     2024.0000    0.000%
 680    44F8    44F8     1984.0000     1984.0000    0.000%
 681    4508    4508     2176.0000     2176.0000    0.000%
 682    4500    4500     2048.0000     2048.0000    0.000%
 683    44FD    44FD     2024.0000     2024.0000    0.000%
 684    4500    4500     2048.0000     2048.0000    0.000%
 685    4501    4501     2064.0000     2064.0000    0.000%
 686    4505    4505     2128.0000     2128.0000    0.000%
 687    450C    450C     2240.0000     2240.0000    0.000%
 688    4511    4511     2320.0000     2320.0000    0.000%
 689    44FF    44FF     2040.0000     2040.0000    0.000%
 690    4500    4500     2048.0000     2048.0000    0.000%
 691    4505    4505     2128.0000     2128.0000    0.000%
 692    4501    4501     2064.0000     2064.0000    0.000%
 693    44F2    44F2     1936.0000     1936.0000    0.000%
 694    44F8    44F8     1984.0000     1984.0000    0.000%
 695    4511    4511     2320.0000     2320.0000    0.000%
 696    450B    450B     2224.0000     2224.0000    0.000%
 697    44FF    44FF     2040.0000     2040.0000    0.000%
 698    44FF    44FF     2040.0000     2040.0000    0.000%
 699    44EB    44EB     1880.0000     1880.0000    0.000%
 700    4503    4503     2096.0000     2096.0000    0.000%
 701    4503    4503     2096.0000     2096.0000    0.000%
 702    4507    4507     2160.0000     2160.0000    0.000%
 703    44F6    44F6     1968.0000     1968.0000    0.000%
 704    4503    4503     2096.0000     2096.0000    0.000%
 705    44F6    44F6     1968.0000     1968.0000    0.000%
 706    44F9    44F9     1992.0000     1992.0000    0.000%
 707    450B    450B     2224.0000     2224.0000    0.000%
 708    44F4    44F4     1952.0000     1952.0000    0.000%
 709    4507    4507     2160.0000     2160.0000    0.000%
 710    4506    4506     2144.0000     2144.0000    0.000%
 711    4507    4507     2160.0000     2160.0000    0.000%
 712    44FC    44FC     2016.0000     2016.0000    0.000%
 713    450A    450A     2208.0000     2208.0000    0.000%
 714    4502    4502     2080.0000     2080.0000    0.000%
 715    450D    450D     2256.0000     2256.0000    0.000%
 716    4500    4500     2048.0000     2048.0000    0.000%
 717    4508    4508     2176.0000     2176.0000    0.000%
 718    4502    4502     2080.0000     2080.0000    0.000%
 719    44EF    44EF     1912.0000     1912.0000    0.000%
 720    44E3    44E3     1816.0000     1816.0000    0.000%
 721    4501    4501     2064.0000     2064.0000    0.000%
 722    44F4    44F4     1952.0000     1952.0000    0.000%
 723    4505    4505     2128.0000     2128.0000    0.000%
 724    44FE    44FE     2032.0000     2032.0000    0.000%
 725    44F9    44F9     1992.0000     1992.0000    0.000%
 726    44F0    44F0     1920.0000     1920.0000    0.000%
 727    44E7    44E7     1848.0000     1848.0000    0.000%
 728    44F6    44F6     1968.0000     1968.0000    0.000%
 729    4510    4510     2304.0000     2304.0000    0.000%
 730    4509    4509     2192.0000     2192.0000    0.000%
 731    44F7    44F7     1976.0000     1976.0000    0.000%
 732    4506    4506     2144.0000     2144.0000    0.000%
 733    450B    450B     2224.0000     2224.0000    0.000%
 734    4501    4501     2064.0000     2064.0000    0.000%
 735    4507    4507     2160.0000     2160.0000    0.000%
 736    450C    450C     2240.0000     2240.0000    0.000%
 737    450C    450C     2240.0000     2240.0000    0.000%
 738    4500    4500     2048.0000     2048.0000    0.000%
 739    4505    4505     2128.0000     2128.0000    0.000%
 740    44F9    44F9     1992.0000     1992.0000    0.000%
 741    44FD    44FD     2024.0000     2024.0000    0.000%
 742    44FD    44FD     2024.0000     2024.0000    0.000%
 743    4508    4508     2176.0000     2176.0000    0.000%
 744    450C    450C     2240.0000     2240.0000    0.000%
 745    4502    4502     2080.0000     2080.0000    0.000%
 746    44ED    44ED     1896.0000     1896.0000    0.000%
 747    4502    4502     2080.0000     2080.0000    0.000%
 748    4516    4516     2400.0000     2400.0000    0.000%
 749    450A    450A     2208.0000     2208.0000    0.000%
 750    44FF    44FF     2040.0000     2040.0000    0.000%
 751    4505    4505     2128.0000     2128.0000    0.000%
 752    44FF    44FF     2040.0000     2040.0000    0.000%
 753    4508    4508     2176.0000     2176.0000    0.000%
 754    44EA    44EA     1872.0000     1872.0000    0.000%
 755    4501    4501     2064.0000     2064.0000    0.000%
 756    4500    4500     2048.0000     2048.0000    0.000%
 757    44EB    44EB     1880.0000     1880.0000    0.000%
 758    44FB    44FB     2008.0000     2008.0000    0.000%
 759    4502    4502     2080.0000     2080.0000    0.000%
 760    4505    4505     2128.0000     2128.0000    0.000%
 761    44F3    44F3     1944.0000     1944.0000    0.000%
 762    44FF    44FF     2040.0000     2040.0000    0.000%
 763    4501    4501     2064.0000     2064.0000    0.000%
 764    4504    4504     2112.0000     2112.0000    0.000%
 765    4500    4500     2048.0000     2048.0000    0.000%
 766    4505    4505     2128.0000     2128.0000    0.000%
 767    450B    450B     2224.0000     2224.0000    0.000%
 768    4463    4463      908.0000      908.0000    0.000%
 769    447E    447E     1016.0000     1016.0000    0.000%
 770    4484    4484     1056.0000     1056.0000    0.000%
 771    4480    4480     1024.0000     1024.0000    0.000%
 772    4488    4488     1088.0000     1088.0000    0.000%
 773    448F    448F     1144.0000     1144.0000    0.000%
 774    448F    448F     1144.0000     1144.0000    0.000%
 775    4482    4482     1040.0000     1040.0000    0.000%
 776    4490    4490     1152.0000     1152.0000    0.000%
 777    4482    4482     1040.0000     1040.0000    0.000%
 778    446F    446F      956.0000      956.0000    0.000%
 779    4488    4488     1088.0000     1088.0000    0.000%
 780    4484    4484     1056.0000     1056.0000    0.000%
 781    446A    446A      936.0000      936.0000    0.000%
 782    448D    448D     1128.0000     1128.0000    0.000%
 783    446E    446E      952.0000      952.0000    0.000%
 784    447F    447F     1020.0000     1020.0000    0.000%
 785    4486    4486     1072.0000     1072.0000    0.000%
 786    4477    4477      988.0000      988.0000    0.000%
 787    4481    4481     1032.0000     1032.0000    0.000%
 788    447E    447E     1016.0000     1016.0000    0.000%
 789    4483    4483     1048.0000     1048.0000    0.000%
 790    446D    446D      948.0000      948.0000    0.000%
 791    447E    447E     1016.0000     1016.0000    0.000%
 792    448D    448D     1128.0000     1128.0000    0.000%
 793    4463    4463      908.0000      908.0000    0.000%
 794    4468    4468      928.0000      928.0000    0.000%
 795    446C    446C      944.0000      944.0000    0.000%
 796    4491    4491     1160.0000     1160.0000    0.000%
 797    4482    4482     1040.0000     1040.0000    0.000%
 798    4486    4486     1072.0000     1072.0000    0.000%
 799    448A    448A     1104.0000     1104.0000    0.000%
 800    4489    4489     1096.0000     1096.0000    0.000%
 801    449A    449A     1232.0000     1232.0000    0.000%
 802    447A    447A     1000.0000     1000.0000    0.000%
 803    4476    4476      984.0000      984.0000    0.000%
 804    4470    4470      960.0000      960.0000    0.000%
 805    4489    4489     1096.0000     1096.0000    0.000%
 806    4493    4493     1176.0000     1176.0000    0.000%
 807    448C    448C     1120.0000     1120.0000    0.000%
 808    445C    445C      880.0000      880.0000    0.000%
 809    446F    446F      956.0000      956.0000    0.000%
 810    4478    4478      992.0000      992.0000    0.000%
 811    448D    448D     1128.0000     1128.0000    0.000%
 812    4487    4487     1080.0000     1080.0000    0.000%
 813    4489    4489     1096.0000     1096.0000    0.000%
 814    4478    4478      992.0000      992.0000    0.000%
 815    448D    448D     1128.0000     1128.0000    0.000%
 816    4472    4472      968.0000      968.0000    0.000%
 817    446E    446E      952.0000      952.0000    0.000%
 818    4487    4487     1080.0000     1080.0000    0.000%
 819    4491    4491     1160.0000     1160.0000    0.000%
 820    445E    445E      888.0000      888.0000    0.000%
 821    4482    4482     1040.0000     1040.0000    0.000%
 822    4498    4498     1216.0000     1216.0000    0.000%
 823    446C    446C      944.0000      944.0000    0.000%
 824    447C    447C     1008.0000     1008.0000    0.000%
 825    4483    4483     1048.0000     1048.0000    0.000%
 826    447F    447F     1020.0000     1020.0000    0.000%
 827    448E    448E     1136.0000     1136.0000    0.000%
 828    4459    4459      868.0000      868.0000    0.000%
 829    4483    4483     1048.0000     1048.0000    0.000%
 830    447F    447F     1020.0000     1020.0000    0.000%
 831    4489    4489     1096.0000     1096.0000    0.000%
 832    4478    4478      992.0000      992.0000    0.000%
 833    447B    447B     1004.0000     1004.0000    0.000%
 834    447C    447C     1008.0000     1008.0000    0.000%
 835    445A    445A      872.0000      872.0000    0.000%
 836    4489    4489     1096.0000     1096.0000    0.000%
 837    447B    447B     1004.0000     1004.0000    0.000%
 838    4488    4488     1088.0000     1088.0000    0.000%
 839    4452    4452      840.0000      840.0000    0.000%
 840    4486    4486     1072.0000     1072.0000    0.000%
 841    4485    4485     1064.0000     1064.0000    0.000%
 842    447A    447A     1000.0000     1000.0000    0.000%
 843    4485    4485     1064.0000     1064.0000    0.000%
 844    4465    4465      916.0000      916.0000    0.000%
 845    448A    448A     1104.0000     1104.0000    0.000%
 846    447D    447D     1012.0000     1012.0000    0.000%
 847    446F    446F      956.0000      956.0000    0.000%
 848    449A    449A     1232.0000     1232.0000    0.000%
 849    4470    4470      960.0000      960.0000    0.000%
 850    4482    4482     1040.0000     1040.0000    0.000%
 851    447C    447C     1008.0000     1008.0000    0.000%
 852    4485    4485     1064.0000     1064.0000    0.000%
 853    4493    4493     1176.0000     1176.0000    0.000%
 854    4491    4491     1160.0000     1160.0000    0.000%
 855    4488    4488     1088.0000     1088.0000    0.000%
 856    448A    448A     1104.0000     1104.0000    0.000%
 857    4481    4481     1032.0000     1032.0000    0.000%
 858    4488    4488     1088.0000     1088.0000    0.000%
 859    447D    447D     1012.0000     1012.0000    0.000%
 860    448D    448D     1128.0000     1128.0000    0.000%
 861    4484    4484     1056.0000     1056.0000    0.000%
 862    4491    4491     1160.0000     1160.0000    0.000%
 863    4485    4485     1064.0000     1064.0000    0.000%
 864    447E    447E     1016.0000     1016.0000    0.000%
 865    4486    4486     1072.0000     1072.0000    0.000%
 866    4446    4446      792.0000      792.0000    0.000%
 867    4462    4462      904.0000      904.0000    0.000%
 868    4479    4479      996.0000      996.0000    0.000%
 869    4488    4488     1088.0000     1088.0000    0.000%
 870    4457    4457      860.0000      860.0000    0.000%
 871    4493    4493     1176.0000     1176.0000    0.000%
 872    4471    4471      964.0000      964.0000    0.000%
 873    4482    4482     1040.0000     1040.0000    0.000%
 874    4478    4478      992.0000      992.0000    0.000%
 875    4458    4458      864.0000      864.0000    0.000%
 876    4485    4485     1064.0000     1064.0000    0.000%
 877    4486    4486     1072.0000     1072.0000    0.000%
 878    448D    448D     1128.0000     1128.0000    0.000%
 879    4481    4481     1032.0000     1032.0000    0.000%
 880    447A    447A     1000.0000     1000.0000    0.000%
 881    4471    4471      964.0000      964.0000    0.000%
 882    4495    4495     1192.0000     1192.0000    0.000%
 883    4487    4487     1080.0000     1080.0000    0.000%
 884    4484    4484     1056.0000     1056.0000    0.000%
 885    4483    4483     1048.0000     1048.0000    0.000%
 886    4461    4461      900.0000      900.0000    0.000%
 887    4465    4465      916.0000      916.0000    0.000%
 888    447B    447B     1004.0000     1004.0000    0.000%
 889    4487    4487     1080.0000     1080.0000    0.000%
 890    4489    4489     1096.0000     1096.0000    0.000%
 891    4486    4486     1072.0000     1072.0000    0.000%
 892    4494    4494     1184.0000     1184.0000    0.000%
 893    448D    448D     1128.0000     1128.0000    0.000%
 894    4490    4490     1152.0000     1152.0000    0.000%
 895    4487    4487     1080.0000     1080.0000    0.000%
 896    4491    4491     1160.0000     1160.0000    0.000%
 897    446B    446B      940.0000      940.0000    0.000%
 898    4484    4484     1056.0000     1056.0000    0.000%
 899    446E    446E      952.0000      952.0000    0.000%
 900    446A    446A      936.0000      936.0000    0.000%
 901    4462    4462      904.0000      904.0000    0.000%
 902    448F    448F     1144.0000     1144.0000    0.000%
 903    446A    446A      936.0000      936.0000    0.000%
 904    448C    448C     1120.0000     1120.0000    0.000%
 905    449B    449B     1240.0000     1240.0000    0.000%
 906    4481    4481     1032.0000     1032.0000    0.000%
 907    44A0    44A0     1280.0000     1280.0000    0.000%
 908    4492    4492     1168.0000     1168.0000    0.000%
 909    4487    4487     1080.0000     1080.0000    0.000%
 910    4483    4483     1048.0000     1048.0000    0.000%
 911    4499    4499     1224.0000     1224.0000    0.000%
 912    4495    4495     1192.0000     1192.0000    0.000%
 913    4456    4456      856.0000      856.0000    0.000%
 914    446E    446E      952.0000      952.0000    0.000%
 915    4467    4467      924.0000      924.0000    0.000%
 916    447E    447E     1016.0000     1016.0000    0.000%
 917    447E    447E     1016.0000     1016.0000    0.000%
 918    448C    448C     1120.0000     1120.0000    0.000%
 919    4488    4488     1088.0000     1088.0000    0.000%
 920    4484    4484     1056.0000     1056.0000    0.000%
 921    447F    447F     1020.0000     1020.0000    0.000%
 922    449A    449A     1232.0000     1232.0000    0.000%
 923    448E    448E     1136.0000     1136.0000    0.000%
 924    447D    447D     1012.0000     1012.0000    0.000%
 925    4480    4480     1024.0000     1024.0000    0.000%
 926    4486    4486     1072.0000     1072.0000    0.000%
 927    448A    448A     1104.0000     1104.0000    0.000%
 928    4465    4465      916.0000      916.0000    0.000%
 929    4489    4489     1096.0000     1096.0000    0.000%
 930    4489    4489     1096.0000     1096.0000    0.000%
 931    4482    4482     1040.0000     1040.0000    0.000%
 932    4486    4486     1072.0000     1072.0000    0.000%
 933    4487    4487     1080.0000     1080.0000    0.000%
 934    4489    4489     1096.0000     1096.0000    0.000%
 935    4476    4476      984.0000      984.0000    0.000%
 936    44A8    44A8     1344.0000     1344.0000    0.000%
 937    447D    447D     1012.0000     1012.0000    0.000%
 938    4483    4483     1048.0000     1048.0000    0.000%
 939    4490    4490     1152.0000     1152.0000    0.000%
 940    4488    4488     1088.0000     1088.0000    0.000%
 941    4479    4479      996.0000      996.0000    0.000%
 942    4478    4478      992.0000      992.0000    0.000%
 943    4494    4494     1184.0000     1184.0000    0.000%
 944    449D    449D     1256.0000     1256.0000    0.000%
 945    447C    447C     1008.0000     1008.0000    0.000%
 946    447A    447A     1000.0000     1000.0000    0.000%
 947    4489    4489     1096.0000     1096.0000    0.000%
 948    4484    4484     1056.0000     1056.0000    0.000%
 949    4486    4486     1072.0000     1072.0000    0.000%
 950    448B    448B     1112.0000     1112.0000    0.000%
 951    448A    448A     1104.0000     1104.0000    0.000%
 952    4479    4479      996.0000      996.0000    0.000%
 953    4471    4471      964.0000      964.0000    0.000%
 954    4483    4483     1048.0000     1048.0000    0.000%
 955    4489    4489     1096.0000     1096.0000    0.000%
 956    4498    4498     1216.0000     1216.0000    0.000%
 957    447D    447D     1012.0000     1012.0000    0.000%
 958    448F    448F     1144.0000     1144.0000    0.000%
 959    4491    4491     1160.0000     1160.0000    0.000%
 960    4487    4487     1080.0000     1080.0000    0.000%
 961    447B    447B     1004.0000     1004.0000    0.000%
 962    4488    4488     1088.0000     1088.0000    0.000%
 963    447E    447E     1016.0000     1016.0000    0.000%
 964    4478    4478      992.0000      992.0000    0.000%
 965    4470    4470      960.0000      960.0000    0.000%
 966    448A    448A     1104.0000     1104.0000    0.000%
 967    448F    448F     1144.0000     1144.0000    0.000%
 968    4487    4487     1080.0000     1080.0000    0.000%
 969    447F    447F     1020.0000     1020.0000    0.000%
 970    4477    4477      988.0000      988.0000    0.000%
 971    446A    446A      936.0000      936.0000    0.000%
 972    4485    4485     1064.0000     1064.0000    0.000%
 973    4492    4492     1168.0000     1168.0000    0.000%
 974    447C    447C     1008.0000     1008.0000    0.000%
 975    4481    4481     1032.0000     1032.0000    0.000%
 976    448B    448B     1112.0000     1112.0000    0.000%
 977    447C    447C     1008.0000     1008.0000    0.000%
 978    4470    4470      960.0000      960.0000    0.000%
 979    447D    447D     1012.0000     1012.0000    0.000%
 980    448A    448A     1104.0000     1104.0000    0.000%
 981    4483    4483     1048.0000     1048.0000    0.000%
 982    4489    4489     1096.0000     1096.0000    0.000%
 983    44A3    44A3     1304.0000     1304.0000    0.000%
 984    4456    4456      856.0000      856.0000    0.000%
 985    448B    448B     1112.0000     1112.0000    0.000%
 986    4481    4481     1032.0000     1032.0000    0.000%
 987    4477    4477      988.0000      988.0000    0.000%
 988    4485    4485     1064.0000     1064.0000    0.000%
 989    4454    4454      848.0000      848.0000    0.000%
 990    448C    448C     1120.0000     1120.0000    0.000%
 991    4495    4495     1192.0000     1192.0000    0.000%
 992    448D    448D     1128.0000     1128.0000    0.000%
 993    4477    4477      988.0000      988.0000    0.000%
 994    4475    4475      980.0000      980.0000    0.000%
 995    4475    4475      980.0000      980.0000    0.000%
 996    447D    447D     1012.0000     1012.0000    0.000%
 997    4481    4481     1032.0000     1032.0000    0.000%
 998    4479    4479      996.0000      996.0000    0.000%
 999    4470    4470      960.0000      960.0000    0.000%
1000    447C    447C     1008.0000     1008.0000    0.000%
1001    449E    449E     1264.0000     1264.0000    0.000%
1002    4487    4487     1080.0000     1080.0000    0.000%
1003    448E    448E     1136.0000     1136.0000    0.000%
1004    4489    4489     1096.0000     1096.0000    0.000%
1005    4490    4490     1152.0000     1152.0000    0.000%
1006    4450    4450      832.0000      832.0000    0.000%
1007    447B    447B     1004.0000     1004.0000    0.000%
1008    4481    4481     1032.0000     1032.0000    0.000%
1009    4490    4490     1152.0000     1152.0000    0.000%
1010    4483    4483     1048.0000     1048.0000    0.000%
1011    4470    4470      960.0000      960.0000    0.000%
1012    447F    447F     1020.0000     1020.0000    0.000%
1013    447F    447F     1020.0000     1020.0000    0.000%
1014    4492    4492     1168.0000     1168.0000    0.000%
1015    4458    4458      864.0000      864.0000    0.000%
1016    4484    4484     1056.0000     1056.0000    0.000%
1017    4480    4480     1024.0000     1024.0000    0.000%
1018    4467    4467      924.0000      924.0000    0.000%
1019    4480    4480     1024.0000     1024.0000    0.000%
1020    4471    4471      964.0000      964.0000    0.000%
1021    4485    4485     1064.0000     1064.0000    0.000%
1022    4487    4487     1080.0000     1080.0000    0.000%
1023    4463    4463      908.0000      908.0000    0.000%
