 row  golden      hw     gold(dec)       hw(dec)      rel%
 119    4604    4604     8448.0000     8448.0000    0.000%
 120    4606    4606     8576.0000     8576.0000    0.000%
 121    45F4    45F4     7808.0000     7808.0000    0.000%
 122    4601    4601     8256.0000     8256.0000    0.000%
 123    4606    4606     8576.0000     8576.0000    0.000%
 124    4605    4605     8512.0000     8512.0000    0.000%
 125    4601    4601     8256.0000     8256.0000    0.000%
 126    4603    4603     8384.0000     8384.0000    0.000%
 127    45FB    45FB     8032.0000     8032.0000    0.000%
 128    4604    4604     8448.0000     8448.0000    0.000%
 129    4609    4609     8768.0000     8768.0000    0.000%
 130    45FE    45FE     8128.0000     8128.0000    0.000%
 131    45FF    45FF     8160.0000     8160.0000    0.000%
 132    4605    4605     8512.0000     8512.0000    0.000%
 133    45FE    45FE     8128.0000     8128.0000    0.000%
 134    45FE    45FE     8128.0000     8128.0000    0.000%
 135    4600    4600     8192.0000     8192.0000    0.000%
 136    4603    4603     8384.0000     8384.0000    0.000%
 137    45FB    45FB     8032.0000     8032.0000    0.000%
 138    45FA    45FA     8000.0000     8000.0000    0.000%
 139    45F1    45F1     7712.0000     7712.0000    0.000%
 140    4606    4606     8576.0000     8576.0000    0.000%
 141    4604    4604     8448.0000     8448.0000    0.000%
 142    4608    4608     8704.0000     8704.0000    0.000%
 143    4606    4606     8576.0000     8576.0000    0.000%
 144    4602    4602     8320.0000     8320.0000    0.000%
 145    45FF    45FF     8160.0000     8160.0000    0.000%
 146    4607    4607     8640.0000     8640.0000    0.000%
 147    45F9    45F9     7968.0000     7968.0000    0.000%
 148    4600    4600     8192.0000     8192.0000    0.000%
 149    4604    4604     8448.0000     8448.0000    0.000%
 150    4604    4604     8448.0000     8448.0000    0.000%
 151    4607    4607     8640.0000     8640.0000    0.000%
 152    4601    4601     8256.0000     8256.0000    0.000%
 153    4604    4604     8448.0000     8448.0000    0.000%
 154    4605    4605     8512.0000     8512.0000    0.000%
 155    45FC    45FC     8064.0000     8064.0000    0.000%
 156    4600    4600     8192.0000     8192.0000    0.000%
 157    4605    4605     8512.0000     8512.0000    0.000%
 158    4600    4600     8192.0000     8192.0000    0.000%
 159    45F9    45F9     7968.0000     7968.0000    0.000%
 160    4607    4607     8640.0000     8640.0000    0.000%
 161    45FB    45FB     8032.0000     8032.0000    0.000%
 162    45FF    45FF     8160.0000     8160.0000    0.000%
 163    4602    4602     8320.0000     8320.0000    0.000%
 164    45FB    45FB     8032.0000     8032.0000    0.000%
 165    4602    4602     8320.0000     8320.0000    0.000%
 166    4605    4605     8512.0000     8512.0000    0.000%
 167    45FB    45FB     8032.0000     8032.0000    0.000%
 168    45F5    45F5     7840.0000     7840.0000    0.000%
 169    45F2    45F2     7744.0000     7744.0000    0.000%
 170    45FA    45FA     8000.0000     8000.0000    0.000%
 171    4601    4601     8256.0000     8256.0000    0.000%
 172    45FF    45FF     8160.0000     8160.0000    0.000%
 173    4601    4601     8256.0000     8256.0000    0.000%
 174    45FC    45FC     8064.0000     8064.0000    0.000%
 175    45FE    45FE     8128.0000     8128.0000    0.000%
 176    45FF    45FF     8160.0000     8160.0000    0.000%
 177    45F8    45F8     7936.0000     7936.0000    0.000%
 178    4604    4604     8448.0000     8448.0000    0.000%
 179    4601    4601     8256.0000     8256.0000    0.000%
 180    45FC    45FC     8064.0000     8064.0000    0.000%
 181    4602    4602     8320.0000     8320.0000    0.000%
 182    4606    4606     8576.0000     8576.0000    0.000%
 183    4601    4601     8256.0000     8256.0000    0.000%
 184    4600    4600     8192.0000     8192.0000    0.000%
 185    45F1    45F1     7712.0000     7712.0000    0.000%
 186    4601    4601     8256.0000     8256.0000    0.000%
 187    4606    4606     8576.0000     8576.0000    0.000%
 188    4600    4600     8192.0000     8192.0000    0.000%
 189    4601    4601     8256.0000     8256.0000    0.000%
 190    4602    4602     8320.0000     8320.0000    0.000%
 191    4601    4601     8256.0000     8256.0000    0.000%
 192    4600    4600     8192.0000     8192.0000    0.000%
 193    4601    4601     8256.0000     8256.0000    0.000%
 194    45FC    45FC     8064.0000     8064.0000    0.000%
 195    4607    4607     8640.0000     8640.0000    0.000%
 196    45FB    45FB     8032.0000     8032.0000    0.000%
 197    4602    4602     8320.0000     8320.0000    0.000%
 198    45FB    45FB     8032.0000     8032.0000    0.000%
 199    45F0    45F0     7680.0000     7680.0000    0.000%
 200    45FB    45FB     8032.0000     8032.0000    0.000%
 201    4604    4604     8448.0000     8448.0000    0.000%
 202    45FE    45FE     8128.0000     8128.0000    0.000%
 203    4605    4605     8512.0000     8512.0000    0.000%
 204    4603    4603     8384.0000     8384.0000    0.000%
 205    45FE    45FE     8128.0000     8128.0000    0.000%
 206    4603    4603     8384.0000     8384.0000    0.000%
 207    45FB    45FB     8032.0000     8032.0000    0.000%
