design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,16x3,16,3,48,2:32,350.0,G1,512,512,16,11,16,176,11916,2097216,7035.795,561.382,auto,0.999396,39.17,0.5433,0.5029,0.9255,964.94,62.19,82.92,45056,1.315,7025.422 6995.002 7086.960
sparse,16x3,16,3,48,2:32,350.0,G2,768,768,24,16,0,384,5462,2097408,6905.255,561.382,auto,0.999396,39.17,1.1615,1.0971,0.9446,1015.66,63.48,84.64,98304,1.02,6885.520 6880.032 6950.213
sparse,16x3,16,3,48,2:32,350.0,G3,1024,1024,32,22,32,704,2979,2097216,6845.248,561.382,auto,0.999396,39.17,2.1094,2.0114,0.9536,994.2,64.08,85.44,180224,1.285,6876.900 6789.634 6869.210
sparse,16x3,16,3,48,2:32,350.0,G4,3072,768,24,64,0,1536,1366,2098176,6916.315,561.382,auto,0.999396,39.17,4.6522,4.3886,0.9433,1014.27,63.39,84.52,393216,1.167,6943.595 6863.514 6941.835
sparse,16x3,16,3,48,2:32,350.0,G5,768,3072,96,16,0,1536,1366,2098176,6731.254,561.382,auto,0.999396,39.17,4.5167,4.3886,0.9716,1044.69,65.29,87.06,393216,1.557,6738.498 6779.598 6675.665
sparse,16x3,16,3,48,2:32,350.0,G6,4096,1024,32,86,32,2752,763,2099776,6800.803,561.382,auto,0.999396,39.17,8.1775,7.8629,0.9615,1025.82,64.61,86.15,704512,1.977,6731.131 6807.087 6864.190
sparse,16x3,16,3,48,2:32,350.0,G7,1024,4096,128,22,32,2816,745,2097920,6648.299,561.382,auto,0.999396,39.17,8.1704,8.0457,0.9847,1026.71,66.17,88.23,720896,3.642,6493.984 6720.445 6730.468
sparse,16x3,16,3,48,2:32,350.0,G8,2048,2048,64,43,16,2752,763,2099776,6733.739,561.382,auto,0.999396,39.17,8.0896,7.8629,0.972,1036.96,65.32,87.09,704512,0.559,6723.700 6757.546 6719.971
sparse,16x3,16,3,48,2:32,350.0,G9,4096,4096,128,86,32,11008,191,2102528,6705.14,561.382,auto,0.999396,39.17,32.1663,31.4514,0.9778,1043.16,65.71,87.61,2818048,0.812,6690.861 6685.138 6739.420
sparse,16x3,16,3,48,2:32,350.0,G10,8192,2048,64,171,16,10944,192,2101248,6801.835,561.382,auto,0.999396,39.17,32.5024,31.2686,0.962,1032.37,64.65,86.2,2801664,0.468,6784.275 6805.195 6816.034
sparse,16x3,16,3,48,2:32,350.0,G11,2048,8192,256,43,16,11008,191,2102528,6726.945,561.382,auto,0.999396,39.17,32.2804,31.4514,0.9743,1039.47,65.47,87.3,2818048,0.755,6695.214 6745.777 6739.845
