design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,16x3,16,3,48,2:8,350.0,G1,512,512,16,11,16,704,2979,2097216,6719.524,649.424,auto,0.99866,55.6,2.0376,2.0114,0.9871,257.3,66.34,88.45,180224,3.479,6590.133 6749.037 6819.403
sparse,16x3,16,3,48,2:8,350.0,G2,768,768,24,16,0,1536,1366,2098176,6675.918,649.424,auto,0.99866,55.6,4.4118,4.3886,0.9947,267.39,66.85,89.13,393216,0.93,6667.464 6649.231 6711.058
sparse,16x3,16,3,48,2:8,350.0,G3,1024,1024,32,22,32,2816,745,2097920,6710.786,649.424,auto,0.99866,55.6,8.1361,8.0457,0.9889,257.76,66.45,88.61,720896,1.534,6692.847 6770.910 6668.600
sparse,16x3,16,3,48,2:8,350.0,G4,3072,768,24,64,0,6144,342,2101248,6721.084,649.424,auto,0.99866,55.6,17.7534,17.5543,0.9888,265.79,66.45,88.6,1572864,2.753,6628.302 6810.802 6724.148
sparse,16x3,16,3,48,2:8,350.0,G5,768,3072,96,16,0,6144,342,2101248,6716.597,649.424,auto,0.99866,55.6,17.7403,17.5543,0.9895,265.98,66.5,88.66,1572864,1.869,6658.764 6783.200 6707.826
sparse,16x3,16,3,48,2:8,350.0,G6,4096,1024,32,86,32,11008,191,2102528,6761.068,649.424,auto,0.99866,55.6,31.9981,31.4514,0.9829,262.16,66.05,88.07,2818048,1.622,6814.140 6763.698 6705.366
sparse,16x3,16,3,48,2:8,350.0,G7,1024,4096,128,22,32,11264,187,2106368,6697.562,649.424,auto,0.99866,55.6,32.343,32.1829,0.995,259.36,66.87,89.16,2883584,1.208,6687.953 6662.136 6742.596
sparse,16x3,16,3,48,2:8,350.0,G8,2048,2048,64,43,16,11008,191,2102528,6686.217,649.424,auto,0.99866,55.6,31.6062,31.4514,0.9951,265.41,66.87,89.16,2818048,1.527,6738.739 6637.371 6682.540
sparse,16x3,16,3,48,2:8,350.0,G9,4096,4096,128,86,32,44032,48,2113536,6728.021,649.424,auto,0.99866,55.6,126.6374,125.8057,0.9934,264.96,66.76,89.01,11272192,0.498,6710.130 6730.385 6743.547
sparse,16x3,16,3,48,2:8,350.0,G10,8192,2048,64,171,16,43776,48,2101248,6704.626,649.424,auto,0.99866,55.6,126.15,125.0743,0.9915,265.99,66.63,88.84,11206656,1.862,6748.259 6740.708 6624.911
sparse,16x3,16,3,48,2:8,350.0,G11,2048,8192,256,43,16,44032,48,2113536,6706.785,649.424,auto,0.99866,55.6,126.195,125.8057,0.9969,265.89,66.99,89.32,11272192,0.642,6686.082 6705.235 6729.038
