label,clock_mhz,V,soak_s,iterations,Mrow_s_sustained,board_load_w,board_idle_w,board_delta_w,vccint_load_w,vccint_idle_w,vccint_delta_w,vccint_load_a,board_load_min,board_load_max,board_load_sd,board_delta_se,vccint_delta_se,n_load,n_idle,energy_per_row_nJ,energy_per_MAC_pJ,GMAC_per_W,energy_per_row_nJ_vccint,sample_errors
16x3 2:4,350.0,1024,60.0,9354,61.302,32.23,27.566,4.665,7.785,7.179,0.606,9.154,27.713,33.185,0.918,0.131,0.015,54,20,525.763,513.44,1.9476,126.995,0
16x3 2:8,350.0,1024,60.0,9312,122.044,31.926,27.712,4.214,7.835,7.143,0.693,9.208,27.333,33.22,1.467,0.204,0.028,54,20,261.595,255.4634,3.9145,64.2,0
16x3 2:16,350.0,1024,60.0,9260,242.735,32.34,27.572,4.768,7.853,7.14,0.713,9.23,28.038,33.133,1.143,0.168,0.019,54,21,133.231,130.1082,7.6859,32.351,0
16x3 2:32,350.0,1024,60.0,9157,480.057,32.449,27.583,4.866,7.829,7.163,0.666,9.208,32.0,33.216,0.283,0.086,0.02,54,21,67.594,66.0093,15.1494,16.309,0
16x3 MIXED,350.0,1024,60.0,9894,129.675,32.235,27.501,4.734,7.794,7.071,0.723,9.166,27.758,33.016,0.946,0.139,0.024,54,20,248.582,242.7563,4.1194,60.104,0
