label,clock_mhz,V,soak_s,iterations,Mrow_s_sustained,board_load_w,board_idle_w,board_delta_w,vccint_load_w,vccint_idle_w,vccint_delta_w,vccint_load_a,board_load_min,board_load_max,board_load_sd,board_delta_se,vccint_delta_se,n_load,n_idle,energy_per_row_nJ,energy_per_MAC_pJ,GMAC_per_W,energy_per_row_nJ_vccint,sample_errors
sparse 2:4,325.0,1024,60.0,8689,75.919,35.994,30.165,5.829,7.911,7.126,0.785,9.299,30.129,36.977,1.475,0.21,0.022,54,21,474.111,462.9992,2.1598,104.208,0
dense,325.0,1024,60.0,8720,38.094,31.724,27.077,4.647,7.809,6.764,1.045,9.178,29.536,32.25,0.479,0.085,0.03,54,21,832.777,813.259,1.2296,204.988,0
sparse 2:8,325.0,1024,60.0,8597,150.235,35.452,30.164,5.288,7.951,7.177,0.774,9.345,30.007,37.008,2.297,0.322,0.019,54,21,235.978,230.4477,4.3394,52.924,0
sparse 2:16,325.0,1024,60.0,8511,297.452,36.084,30.201,5.883,8.037,7.21,0.827,9.446,30.925,37.012,1.457,0.21,0.028,54,20,121.31,118.467,8.4412,27.018,0
sparse 2:32,325.0,1024,60.0,8460,591.371,36.338,30.336,6.002,8.058,7.261,0.798,9.472,30.944,37.061,1.103,0.166,0.026,54,20,61.447,60.0073,16.6646,13.627,0
