sparsity,clock_mhz,V,laps,weight_beats,rows,best_us,mean_us,worst_us,spread_pct,reps,ideal_us,bytes_in,bytes_index,bytes_out,Mrow_s,GB_s,beats_per_cycle,h2d_us,d2h_us
2:8,225.0,1024,2048,262144,131072,1769.391,1871.982,2012.449,13.7,15,1165.084,92276736,25165824,262144,74.0775,52.2998,0.6585,9244.431,158.621
2:8,225.0,1024,4096,524288,262144,2907.638,3105.124,3211.361,10.4,15,2330.169,184551424,50331648,524288,90.157,63.6516,0.8014,18815.639,166.436
2:8,225.0,1024,8192,1048576,524288,5283.475,5517.496,5732.823,8.5,15,4660.338,369100800,100663296,1048576,99.2317,70.0579,0.8821,37245.14,260.106
2:8,225.0,1024,16384,2097152,1048576,10101.206,10281.821,10488.259,3.8,15,9320.676,738199552,201326592,2097152,103.807,73.288,0.9227,74009.433,268.516
2:8,225.0,1024,2048->4096,262144,131072,1138.247,,,,,1165.084,92274688,25165824,262144,115.1525,81.2977,1.0236,,
2:8,225.0,1024,4096->8192,524288,262144,2375.837,,,,,2330.169,184549376,50331648,524288,110.3375,77.8983,0.9808,,
2:8,225.0,1024,8192->16384,1048576,524288,4817.731,,,,,4660.338,369098752,100663296,1048576,108.8247,76.8302,0.9673,,
2:8,225.0,1024,FIT,,,541.932,0.00455068,0.99993,,4,,,,,109.8738,77.5709,0.9767,,
