sparsity,clock_mhz,V,laps,weight_beats,rows,best_us,mean_us,worst_us,spread_pct,reps,ideal_us,bytes_in,bytes_index,bytes_out,Mrow_s,GB_s,beats_per_cycle,h2d_us,d2h_us
2:32,300.0,1024,8192,262144,524288,1498.933,1629.342,1782.194,18.9,15,873.813,92276736,25165824,1048576,349.7741,62.2612,0.583,9761.099,224.795
2:32,300.0,1024,16384,524288,1048576,2570.294,2629.207,2690.06,4.7,15,1747.627,184551424,50331648,2097152,407.9596,72.6176,0.6799,20112.728,321.112
2:32,300.0,1024,32768,1048576,2097152,4369.453,4435.333,4530.465,3.7,15,3495.253,369100800,100663296,4194304,479.9576,85.4329,0.7999,38795.136,522.964
2:32,300.0,1024,65536,2097152,4194304,7905.593,8047.452,8193.318,3.6,15,6990.507,738199552,201326592,8388608,530.5489,94.438,0.8842,78052.875,1008.511
2:32,300.0,1024,8192->16384,262144,524288,1071.361,,,,,873.813,92274688,25165824,1048576,489.3663,87.1072,0.8156,,
2:32,300.0,1024,16384->32768,524288,1048576,1799.159,,,,,1747.627,184549376,50331648,2097152,582.8145,103.741,0.9714,,
2:32,300.0,1024,32768->65536,1048576,2097152,3536.14,,,,,3495.253,369098752,100663296,4194304,593.0625,105.5651,0.9884,,
2:32,300.0,1024,FIT,,,685.496,0.00345924,0.99923,,4,,,,,578.1615,102.9128,0.9636,,
