label,clock_mhz,V,soak_s,iterations,Mrow_s_sustained,board_load_w,board_idle_w,board_delta_w,vccint_load_w,vccint_idle_w,vccint_delta_w,vccint_load_a,board_load_min,board_load_max,board_load_sd,board_delta_se,vccint_delta_se,n_load,n_idle,energy_per_row_nJ,energy_per_MAC_pJ,GMAC_per_W,energy_per_row_nJ_vccint,sample_errors
4x24 2:4,300.0,1024,60.0,7895,103.48,39.653,32.524,7.129,9.276,8.27,1.006,10.903,32.527,41.145,2.249,0.313,0.018,54,21,383.199,374.2179,2.6722,89.637,0
4x24 2:8,300.0,1024,60.0,7856,205.922,39.94,32.552,7.388,9.447,8.345,1.101,11.104,32.724,41.348,2.076,0.29,0.024,54,20,193.956,189.4103,5.2795,45.876,0
4x24 2:16,300.0,1024,60.0,7759,406.761,39.964,32.441,7.523,9.458,8.241,1.217,11.117,32.196,41.182,2.174,0.299,0.025,54,20,98.249,95.9459,10.4225,23.252,0
4x24 2:32,300.0,1024,60.0,7627,799.662,38.963,32.581,6.382,9.439,8.266,1.173,11.093,32.08,41.523,3.008,0.415,0.025,54,21,48.724,47.5825,21.0162,11.803,0
4x24 MIXED,300.0,1024,60.0,8211,215.227,40.43,32.633,7.797,9.351,8.312,1.039,10.993,37.092,41.376,0.777,0.123,0.032,54,20,187.848,183.4455,5.4512,43.449,0
