design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,4x24,4,24,96,2:4,300.0,G1,512,512,16,6,64,768,2731,2097408,8227.008,1365.355,auto,0.989373,172.32,2.5125,2.56,1.0189,208.67,117.38,156.5,393216,0.435,8203.412 8238.532 8239.081
sparse,4x24,4,24,96,2:4,300.0,G2,768,768,24,8,0,1536,1366,2098176,8089.333,1365.355,auto,0.989373,172.32,4.9224,5.12,1.0401,239.65,119.82,159.77,786432,3.189,8184.457 7931.514 8152.027
sparse,4x24,4,24,96,2:4,300.0,G3,1024,1024,32,11,32,2816,745,2097920,8212.774,1365.355,auto,0.989373,172.32,9.1912,9.3867,1.0213,228.17,117.65,156.87,1441792,0.241,8207.860 8205.336 8225.127
sparse,4x24,4,24,96,2:4,300.0,G4,3072,768,24,32,0,6144,342,2101248,8108.081,1365.355,auto,0.989373,172.32,19.7156,20.48,1.0388,239.33,119.67,159.56,3145728,4.08,7905.166 8191.350 8227.726
sparse,4x24,4,24,96,2:4,300.0,G5,768,3072,96,8,0,6144,342,2101248,8194.384,1365.355,auto,0.989373,172.32,19.9679,20.48,1.0256,236.31,118.15,157.54,3145728,0.41,8177.974 8193.639 8211.540
sparse,4x24,4,24,96,2:4,300.0,G6,4096,1024,32,43,32,11008,191,2102528,8199.124,1365.355,auto,0.989373,172.32,35.7789,36.6933,1.0256,234.46,118.14,157.53,5636096,1.879,8279.432 8126.714 8191.226
sparse,4x24,4,24,96,2:4,300.0,G7,1024,4096,128,11,32,11264,187,2106368,8190.7,1365.355,auto,0.989373,172.32,36.4992,37.5467,1.0287,229.83,118.51,158.01,5767168,0.537,8208.149 8199.673 8164.278
sparse,4x24,4,24,96,2:4,300.0,G8,2048,2048,64,22,64,11264,187,2106368,8152.473,1365.355,auto,0.989373,172.32,36.2947,37.5467,1.0345,231.12,119.17,158.9,5767168,0.333,8161.960 8134.905 8160.554
sparse,4x24,4,24,96,2:4,300.0,G9,4096,4096,128,43,32,44032,48,2113536,8183.666,1365.355,auto,0.989373,172.32,142.0482,146.7733,1.0333,236.22,119.03,158.71,22544384,2.332,8153.520 8104.256 8293.223
sparse,4x24,4,24,96,2:4,300.0,G10,8192,2048,64,86,64,44032,48,2113536,8135.006,1365.355,auto,0.989373,172.32,141.0344,146.7733,1.0407,237.92,119.89,159.85,22544384,2.299,8207.343 8174.760 8022.915
sparse,4x24,4,24,96,2:4,300.0,G11,2048,8192,256,22,64,45056,47,2117632,8189.378,1365.355,auto,0.989373,172.32,145.192,150.1867,1.0344,231.1,119.16,158.88,23068672,1.692,8201.894 8114.455 8251.784
