design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,4x24,4,24,96,MIXED,300.0,G1,512,512,16,8,256,480,4370,2097600,8213.381,1089.329,auto,0.998405,71.42,1.6302,1.6,0.9815,321.61,113.06,150.75,245760,3.754,8324.739 8291.907 8023.498
sparse,4x24,4,24,96,MIXED,300.0,G2,768,768,24,8,0,720,2913,2097360,8258.903,1089.329,auto,0.998405,71.42,2.4612,2.4,0.9751,479.29,112.33,149.78,368640,0.697,8231.390 8288.755 8256.564
sparse,4x24,4,24,96,MIXED,300.0,G3,1024,1024,32,12,128,1440,1457,2098080,8190.836,1089.329,auto,0.998405,71.42,4.8741,4.8,0.9848,430.27,113.45,151.27,737280,0.626,8221.509 8170.381 8180.617
sparse,4x24,4,24,96,MIXED,300.0,G4,3072,768,24,32,0,2880,729,2099520,8248.261,1089.329,auto,0.998405,71.42,9.8202,9.6,0.9776,480.5,112.62,150.16,1474560,1.019,8271.560 8194.844 8278.380
sparse,4x24,4,24,96,MIXED,300.0,G5,768,3072,96,8,0,2880,729,2099520,8171.514,1089.329,auto,0.998405,71.42,9.7149,9.6,0.9882,485.71,113.84,151.78,1474560,0.638,8195.093 8143.151 8176.297
sparse,4x24,4,24,96,MIXED,300.0,G6,4096,1024,32,44,128,5280,398,2101440,8185.839,1089.329,auto,0.998405,71.42,17.8304,17.6,0.9871,470.47,113.71,151.61,2703360,0.966,8191.903 8222.121 8143.494
sparse,4x24,4,24,96,MIXED,300.0,G7,1024,4096,128,12,128,5760,365,2102400,8081.533,1089.329,auto,0.998405,71.42,19.1567,19.2,1.0023,437.89,115.46,153.95,2949120,4.093,8138.201 7891.698 8214.701
sparse,4x24,4,24,96,MIXED,300.0,G8,2048,2048,64,24,256,5760,365,2102400,8188.018,1089.329,auto,0.998405,71.42,19.4485,19.2,0.9872,431.32,113.73,151.64,2949120,1.295,8205.179 8126.812 8232.063
sparse,4x24,4,24,96,MIXED,300.0,G9,4096,4096,128,44,128,21120,100,2112000,8217.662,1089.329,auto,0.998405,71.42,71.2833,70.4,0.9876,470.72,113.77,151.7,10813440,1.608,8147.458 8227.046 8278.481
sparse,4x24,4,24,96,MIXED,300.0,G10,8192,2048,64,88,256,21120,100,2112000,8267.758,1089.329,auto,0.998405,71.42,71.7843,70.4,0.9807,467.43,112.98,150.64,10813440,0.6,8263.840 8294.466 8244.969
sparse,4x24,4,24,96,MIXED,300.0,G11,2048,8192,256,24,256,23040,92,2119680,8125.695,1089.329,auto,0.998405,71.42,76.4822,76.8,1.0042,438.72,115.68,154.24,11796480,4.59,7909.339 8272.345 8195.402
