design,config,cores,blocks,lanes,macs_per_beat,clock_mhz,sparsity,estimator,M_rows,N_cols,weight_beats,beats_per_row,latency_avg_us,latency_best_us,latency_worst_us,spread_pct,Mrow_s,bandwidth_avg_GBs,beats_per_cycle_raw,GFLOPS_effective,GFLOPS_actual,runs
sparse,4x24,4,24,96,192,300.0,2:4,run_avg3,786432,1024,2097152,2.6667,8124.218,8092.317,8153.44,0.755,96.801,132.361,0.8603,198.25,99.12,8153.440 8092.317 8126.898
sparse,4x24,4,24,96,192,300.0,2:8,run_avg3,1572864,1024,2097152,1.3333,8152.642,7998.558,8264.602,3.326,192.927,132.116,0.8577,395.11,98.78,7998.558 8264.602 8194.765
sparse,4x24,4,24,96,192,300.0,2:16,run_avg3,3145728,1024,2097152,0.6667,8281.344,8199.29,8413.837,2.617,379.857,130.435,0.8443,777.95,97.24,8199.290 8230.906 8413.837
sparse,4x24,4,24,96,192,300.0,2:32,run_avg3,6291456,1024,2097152,0.3333,8373.425,8251.59,8442.791,2.317,751.36,129.749,0.835,1538.79,96.17,8442.791 8425.895 8251.590
sparse,4x24,4,24,96,192,300.0,MIXED,run_avg3,1572864,1024,1966080,1.25,7650.394,7429.501,7804.623,5.049,205.593,132.049,0.857,421.05,98.68,7429.501 7804.623 7717.058
