design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,4x24,4,24,96,2:32,300.0,G1,512,512,16,6,64,96,21846,2097216,8583.501,1174.252,auto,0.996868,100.59,0.3392,0.32,0.9435,1545.85,108.69,144.92,49152,0.292,8581.619 8571.925 8596.959
sparse,4x24,4,24,96,2:32,300.0,G2,768,768,24,8,0,192,10923,2097216,8409.716,1174.252,auto,0.996868,100.59,0.6624,0.64,0.9662,1780.85,111.3,148.4,98304,0.942,8380.370 8389.430 8459.349
sparse,4x24,4,24,96,2:32,300.0,G3,1024,1024,32,11,32,352,5958,2097216,8411.138,1174.252,auto,0.996868,100.59,1.2147,1.1733,0.966,1726.55,111.28,148.38,180224,0.139,8405.980 8409.759 8417.676
sparse,4x24,4,24,96,2:32,300.0,G4,3072,768,24,32,0,768,2731,2097408,8459.985,1174.252,auto,0.996868,100.59,2.6678,2.56,0.9596,1768.73,110.55,147.39,393216,1.928,8433.529 8392.292 8554.135
sparse,4x24,4,24,96,2:32,300.0,G5,768,3072,96,8,0,768,2731,2097408,8238.76,1174.252,auto,0.996868,100.59,2.5868,2.56,0.9896,1824.12,114.01,152.01,393216,1.937,8162.325 8233.541 8320.413
sparse,4x24,4,24,96,2:32,300.0,G6,4096,1024,32,43,32,1376,1525,2098400,8242.481,1174.252,auto,0.996868,100.59,4.6349,4.5867,0.9896,1809.88,114.0,152.0,704512,2.895,8146.962 8197.675 8382.807
sparse,4x24,4,24,96,2:32,300.0,G7,1024,4096,128,11,32,1408,1490,2097920,8161.099,1174.252,auto,0.996868,100.59,4.6892,4.6933,1.0009,1788.94,115.3,153.74,720896,2.727,8042.341 8261.669 8179.287
sparse,4x24,4,24,96,2:32,300.0,G8,2048,2048,64,22,64,1408,1490,2097920,8376.735,1174.252,auto,0.996868,100.59,4.8339,4.6933,0.9709,1735.38,111.85,149.13,720896,4.127,8243.731 8583.963 8302.512
sparse,4x24,4,24,96,2:32,300.0,G9,4096,4096,128,43,32,5504,382,2102528,8196.823,1174.252,auto,0.996868,100.59,18.3837,18.3467,0.998,1825.23,114.97,153.29,2818048,0.735,8209.846 8220.292 8160.331
sparse,4x24,4,24,96,2:32,300.0,G10,8192,2048,64,86,64,5504,382,2102528,8307.873,1174.252,auto,0.996868,100.59,18.6744,18.3467,0.9825,1796.81,113.18,150.9,2818048,0.88,8281.300 8288.172 8354.146
sparse,4x24,4,24,96,2:32,300.0,G11,2048,8192,256,22,64,5632,373,2100736,8222.846,1174.252,auto,0.996868,100.59,18.897,18.7733,0.9935,1775.65,114.45,152.59,2883584,0.312,8213.353 8239.001 8216.184
